,pearson_CBERT_R-1,pearson_CBERT_R-2,pearson_CBERT_R-L,pearson_BERT_R-1,pearson_BERT_R-2,pearson_BERT_R-l,pearson_BART_R-1,pearson_BART_R-2,pearson_BART_R-l
Pearson score,0.89,0.9,0.88,0.66,0.69,0.66,0.63,0.66,0.63
p-value,0.11,0.1,0.12,0.34,0.31,0.34,0.37,0.34,0.37
