,pearson_CBERT_R-1,pearson_CBERT_R-2,pearson_CBERT_R-L,pearson_BERT_R-1,pearson_BERT_R-2,pearson_BERT_R-l,pearson_BART_R-1,pearson_BART_R-2,pearson_BART_R-l
Pearson score,0.4,0.44,0.22,0.74,0.67,0.76,0.21,0.51,0.2
p-value,0.08,0.05,0.35,0.0,0.0,0.0,0.38,0.02,0.39
