,pearson_CBERT_R-1,pearson_CBERT_R-2,pearson_CBERT_R-L,pearson_BERT_R-1,pearson_BERT_R-2,pearson_BERT_R-l,pearson_BART_R-1,pearson_BART_R-2,pearson_BART_R-l
Pearson score,0.13,0.36,0.05,-0.24,-0.03,-0.26,0.11,0.17,0.14
p-value,0.0,0.0,0.22,0.0,0.5,0.0,0.01,0.0,0.0
