,pearson_CBERT_R-1,pearson_CBERT_R-2,pearson_CBERT_R-L,pearson_BERT_R-1,pearson_BERT_R-2,pearson_BERT_R-l,pearson_BART_R-1,pearson_BART_R-2,pearson_BART_R-l
Pearson score,-0.32,0.16,-0.23,0.3,0.44,0.34,0.38,0.69,0.46
p-value,0.02,0.28,0.1,0.03,0.0,0.02,0.01,0.0,0.0
