,pearson_CBERT_R-1,pearson_CBERT_R-2,pearson_CBERT_R-L,pearson_BERT_R-1,pearson_BERT_R-2,pearson_BERT_R-l,pearson_BART_R-1,pearson_BART_R-2,pearson_BART_R-l
Pearson score,0.71,0.76,0.7,0.1,0.16,0.13,0.11,0.34,0.32
p-value,0.0,0.0,0.0,0.66,0.51,0.58,0.64,0.14,0.17
