,pearson_CBERT_R-1,pearson_CBERT_R-2,pearson_CBERT_R-L,pearson_BERT_R-1,pearson_BERT_R-2,pearson_BERT_R-l,pearson_BART_R-1,pearson_BART_R-2,pearson_BART_R-l
Pearson score,-0.04,0.2,-0.13,-0.29,-0.06,-0.31,0.01,0.08,0.02
p-value,0.69,0.04,0.19,0.0,0.55,0.0,0.94,0.44,0.88
