,pearson_CBERT_R-1,pearson_CBERT_R-2,pearson_CBERT_R-L,pearson_BERT_R-1,pearson_BERT_R-2,pearson_BERT_R-l,pearson_BART_R-1,pearson_BART_R-2,pearson_BART_R-l
Pearson score,0.61,0.67,0.46,0.29,0.53,0.22,0.25,0.54,0.29
p-value,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.0,0.0
