,CBERT-R,CBERT-P,CBERT-F,BERTScore-R,BERTScore-P,BERTScore-F,BARTScore,R-1,R-2,R-L,,CBERT-R,CBERT-P,CBERT-F,BERTScore-R,BERTScore-P,BERTScore-F,BARTScore,R-1,R-2,R-L
0,0.65,0.66,0.65,0.82,0.82,0.82,0.22,0.46,0.04,0.18,,0.628415842,0.650693069,0.636039604,0.821089109,0.830792079,0.825841584,0.266435644,0.424653465,0.113168317,0.227524752
1,0.63,0.54,0.58,0.84,0.82,0.83,0.27,0.27,0.05,0.17,,,,,,,,,,,
2,0.66,0.53,0.59,0.81,0.81,0.81,0.25,0.28,0.04,0.15,,,,,,,,,,,
3,0.72,0.67,0.7,0.84,0.85,0.85,0.33,0.32,0.13,0.21,,,,,,,,,,,
4,0.7,0.68,0.69,0.83,0.85,0.84,0.34,0.51,0.2,0.27,,,,,,,,,,,
5,0.59,0.73,0.65,0.78,0.82,0.8,0.28,0.52,0.13,0.3,,,,,,,,,,,
6,0.76,0.77,0.77,0.84,0.86,0.85,0.27,0.65,0.2,0.35,,,,,,,,,,,
7,0.81,0.73,0.77,0.83,0.86,0.85,0.3,0.56,0.2,0.27,,,,,,,,,,,
8,0.61,0.4,0.48,0.85,0.77,0.81,0.27,0.07,0.03,0.04,,,,,,,,,,,
9,0.66,0.77,0.71,0.83,0.84,0.84,0.22,0.5,0.13,0.23,,,,,,,,,,,
10,0.63,0.69,0.66,0.8,0.84,0.82,0.21,0.49,0.11,0.22,,,,,,,,,,,
11,0.55,0.64,0.59,0.8,0.83,0.81,0.25,0.39,0.02,0.2,,,,,,,,,,,
12,0.7,0.61,0.65,0.83,0.82,0.83,0.2,0.39,0.1,0.17,,,,,,,,,,,
13,0.62,0.63,0.63,0.82,0.8,0.81,0.23,0.29,0.03,0.11,,,,,,,,,,,
14,0.58,0.77,0.66,0.78,0.85,0.81,0.25,0.63,0.34,0.45,,,,,,,,,,,
15,0.61,0.54,0.57,0.84,0.83,0.83,0.22,0.25,0.04,0.13,,,,,,,,,,,
16,0.74,0.66,0.7,0.88,0.85,0.86,0.39,0.35,0.14,0.23,,,,,,,,,,,
17,0.59,0.68,0.63,0.83,0.84,0.83,0.25,0.44,0.15,0.31,,,,,,,,,,,
18,0.84,0.73,0.78,0.88,0.87,0.88,0.41,0.45,0.11,0.19,,,,,,,,,,,
19,0.62,0.85,0.72,0.82,0.87,0.84,0.27,0.72,0.34,0.41,,,,,,,,,,,
20,0.52,0.55,0.54,0.79,0.81,0.8,0.24,0.29,0.03,0.12,,,,,,,,,,,
21,0.6,0.5,0.54,0.82,0.79,0.8,0.28,0.24,0.01,0.09,,,,,,,,,,,
22,0.69,0.72,0.71,0.82,0.84,0.83,0.36,0.61,0.26,0.3,,,,,,,,,,,
23,0.6,0.62,0.61,0.79,0.82,0.8,0.22,0.44,0.08,0.22,,,,,,,,,,,
24,0.63,0.64,0.63,0.83,0.84,0.84,0.32,0.4,0.13,0.17,,,,,,,,,,,
25,0.71,0.74,0.72,0.82,0.87,0.84,0.36,0.63,0.29,0.45,,,,,,,,,,,
26,0.54,0.54,0.54,0.83,0.81,0.82,0.23,0.31,0.05,0.19,,,,,,,,,,,
27,0.61,0.61,0.61,0.82,0.81,0.81,0.26,0.38,0.07,0.22,,,,,,,,,,,
28,0.65,0.62,0.64,0.84,0.84,0.84,0.3,0.32,0.09,0.19,,,,,,,,,,,
29,0.52,0.61,0.56,0.79,0.81,0.8,0.28,0.49,0.09,0.25,,,,,,,,,,,
30,0.68,0.76,0.72,0.8,0.84,0.82,0.26,0.66,0.19,0.39,,,,,,,,,,,
31,0.36,0.53,0.43,0.78,0.78,0.78,0.17,0.22,0.06,0.18,,,,,,,,,,,
32,0.65,0.68,0.67,0.81,0.85,0.83,0.25,0.57,0.18,0.28,,,,,,,,,,,
33,0.61,0.77,0.68,0.81,0.86,0.84,0.18,0.58,0.15,0.25,,,,,,,,,,,
34,0.83,0.67,0.74,0.87,0.84,0.86,0.41,0.37,0.2,0.16,,,,,,,,,,,
35,0.71,0.72,0.72,0.85,0.85,0.85,0.33,0.46,0.23,0.27,,,,,,,,,,,
36,0.59,0.61,0.6,0.81,0.82,0.81,0.23,0.3,0.05,0.16,,,,,,,,,,,
37,0.57,0.6,0.58,0.82,0.83,0.82,0.18,0.31,0.07,0.2,,,,,,,,,,,
38,0.62,0.65,0.63,0.84,0.82,0.83,0.26,0.28,0.05,0.17,,,,,,,,,,,
39,0.7,0.58,0.64,0.84,0.82,0.83,0.24,0.32,0.06,0.14,,,,,,,,,,,
40,0.78,0.7,0.74,0.83,0.85,0.84,0.39,0.51,0.17,0.29,,,,,,,,,,,
41,0.67,0.69,0.68,0.84,0.84,0.84,0.23,0.38,0.09,0.17,,,,,,,,,,,
42,0.61,0.68,0.64,0.8,0.83,0.82,0.23,0.4,0.07,0.19,,,,,,,,,,,
43,0.55,0.6,0.58,0.84,0.83,0.84,0.22,0.32,0.06,0.18,,,,,,,,,,,
44,0.52,0.58,0.55,0.81,0.81,0.81,0.21,0.33,0.04,0.23,,,,,,,,,,,
45,0.63,0.67,0.65,0.83,0.84,0.83,0.27,0.48,0.1,0.23,,,,,,,,,,,
46,0.59,0.72,0.65,0.8,0.84,0.82,0.23,0.45,0.12,0.24,,,,,,,,,,,
47,0.59,0.56,0.58,0.83,0.83,0.83,0.22,0.29,0.05,0.13,,,,,,,,,,,
48,0.75,0.74,0.75,0.84,0.84,0.84,0.28,0.48,0.16,0.22,,,,,,,,,,,
49,0.64,0.67,0.66,0.83,0.83,0.83,0.26,0.36,0.06,0.17,,,,,,,,,,,
50,0.68,0.51,0.58,0.85,0.81,0.83,0.3,0.18,0.01,0.12,,,,,,,,,,,
51,0.6,0.74,0.66,0.83,0.87,0.84,0.19,0.58,0.13,0.26,,,,,,,,,,,
52,0.58,0.64,0.61,0.79,0.81,0.8,0.24,0.48,0.13,0.26,,,,,,,,,,,
53,0.65,0.65,0.65,0.83,0.84,0.84,0.24,0.42,0.1,0.24,,,,,,,,,,,
54,0.64,0.53,0.58,0.84,0.83,0.83,0.37,0.27,0.05,0.12,,,,,,,,,,,
55,0.64,0.6,0.62,0.83,0.82,0.83,0.3,0.34,0.06,0.14,,,,,,,,,,,
56,0.6,0.57,0.58,0.84,0.81,0.82,0.33,0.25,0.07,0.12,,,,,,,,,,,
57,0.82,0.85,0.84,0.89,0.9,0.89,0.48,0.76,0.54,0.55,,,,,,,,,,,
58,0.51,0.59,0.54,0.82,0.8,0.81,0.29,0.35,0.04,0.19,,,,,,,,,,,
59,0.69,0.64,0.67,0.87,0.85,0.86,0.32,0.37,0.09,0.22,,,,,,,,,,,
60,0.55,0.63,0.59,0.8,0.81,0.8,0.22,0.42,0.06,0.2,,,,,,,,,,,
61,0.65,0.69,0.67,0.81,0.85,0.83,0.32,0.53,0.18,0.31,,,,,,,,,,,
62,0.52,0.64,0.58,0.79,0.82,0.8,0.21,0.57,0.07,0.34,,,,,,,,,,,
63,0.63,0.56,0.59,0.83,0.78,0.81,0.19,0.19,0.03,0.1,,,,,,,,,,,
64,0.44,0.72,0.55,0.78,0.82,0.8,0.25,0.51,0.08,0.31,,,,,,,,,,,
65,0.59,0.77,0.67,0.79,0.88,0.83,0.33,0.62,0.33,0.37,,,,,,,,,,,
66,0.72,0.74,0.73,0.82,0.84,0.83,0.34,0.54,0.15,0.29,,,,,,,,,,,
67,0.58,0.66,0.62,0.82,0.84,0.83,0.25,0.44,0.07,0.22,,,,,,,,,,,
68,0.65,0.66,0.66,0.83,0.84,0.84,0.23,0.46,0.12,0.21,,,,,,,,,,,
69,0.73,0.64,0.68,0.81,0.83,0.82,0.25,0.34,0.07,0.16,,,,,,,,,,,
70,0.65,0.69,0.67,0.82,0.84,0.83,0.25,0.49,0.15,0.17,,,,,,,,,,,
71,0.59,0.6,0.59,0.82,0.83,0.83,0.37,0.29,0.06,0.16,,,,,,,,,,,
72,0.58,0.66,0.61,0.82,0.83,0.83,0.19,0.46,0.1,0.25,,,,,,,,,,,
73,0.73,0.6,0.66,0.83,0.83,0.83,0.28,0.29,0.03,0.14,,,,,,,,,,,
74,0.5,0.81,0.62,0.79,0.89,0.84,0.29,0.73,0.33,0.45,,,,,,,,,,,
75,0.52,0.62,0.57,0.81,0.83,0.82,0.23,0.39,0.04,0.22,,,,,,,,,,,
76,0.54,0.58,0.56,0.81,0.82,0.82,0.29,0.45,0.12,0.26,,,,,,,,,,,
77,0.66,0.61,0.63,0.83,0.8,0.82,0.28,0.36,0.07,0.19,,,,,,,,,,,
78,0.77,0.57,0.66,0.86,0.83,0.84,0.19,0.25,0.07,0.14,,,,,,,,,,,
79,0.71,0.74,0.72,0.83,0.83,0.83,0.29,0.53,0.17,0.3,,,,,,,,,,,
80,0.56,0.56,0.56,0.82,0.82,0.82,0.2,0.36,0.04,0.18,,,,,,,,,,,
81,0.49,0.49,0.49,0.79,0.79,0.79,0.19,0.3,0.02,0.15,,,,,,,,,,,
82,0.65,0.68,0.66,0.84,0.81,0.83,0.24,0.46,0.14,0.31,,,,,,,,,,,
83,0.67,0.67,0.67,0.84,0.84,0.84,0.3,0.46,0.15,0.26,,,,,,,,,,,
84,0.53,0.54,0.54,0.82,0.81,0.82,0.17,0.19,0.01,0.1,,,,,,,,,,,
85,0.47,0.62,0.53,0.78,0.78,0.78,0.19,0.29,0.01,0.19,,,,,,,,,,,
86,0.7,0.74,0.72,0.82,0.83,0.83,0.25,0.51,0.09,0.17,,,,,,,,,,,
87,0.39,0.53,0.45,0.73,0.79,0.76,0.21,0.44,0.03,0.31,,,,,,,,,,,
88,0.69,0.59,0.63,0.83,0.83,0.83,0.25,0.32,0.1,0.16,,,,,,,,,,,
89,0.38,0.47,0.42,0.76,0.79,0.78,0.18,0.29,0.02,0.17,,,,,,,,,,,
90,0.63,0.75,0.69,0.81,0.84,0.83,0.25,0.59,0.24,0.34,,,,,,,,,,,
91,0.76,0.72,0.74,0.86,0.86,0.86,0.38,0.5,0.23,0.26,,,,,,,,,,,
92,0.81,0.67,0.73,0.86,0.85,0.85,0.32,0.37,0.08,0.18,,,,,,,,,,,
93,0.62,0.73,0.67,0.83,0.85,0.84,0.24,0.53,0.1,0.25,,,,,,,,,,,
94,0.66,0.7,0.68,0.82,0.83,0.82,0.32,0.54,0.17,0.29,,,,,,,,,,,
95,0.72,0.71,0.72,0.87,0.86,0.86,0.34,0.51,0.17,0.26,,,,,,,,,,,
96,0.7,0.69,0.7,0.83,0.85,0.84,0.29,0.55,0.2,0.34,,,,,,,,,,,
97,0.62,0.81,0.7,0.79,0.84,0.82,0.22,0.7,0.1,0.33,,,,,,,,,,,
98,0.55,0.61,0.58,0.78,0.82,0.8,0.26,0.51,0.12,0.28,,,,,,,,,,,
99,0.6,0.65,0.62,0.78,0.83,0.8,0.22,0.42,0.05,0.19,,,,,,,,,,,
100,0.56,0.67,0.61,0.8,0.82,0.81,0.25,0.47,0.05,0.21,,,,,,,,,,,
