,pearson_CBERT_R-1,pearson_CBERT_R-2,pearson_CBERT_R-L,pearson_BERT_R-1,pearson_BERT_R-2,pearson_BERT_R-l,pearson_BART_R-1,pearson_BART_R-2,pearson_BART_R-l
Pearson score,0.25,0.42,0.33,0.32,0.5,0.46,0.38,0.59,0.54
p-value,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
