,pearson_CBERT_R-1,pearson_CBERT_R-2,pearson_CBERT_R-L,pearson_BERT_R-1,pearson_BERT_R-2,pearson_BERT_R-l,pearson_BART_R-1,pearson_BART_R-2,pearson_BART_R-l
Pearson score,0.59,0.67,0.64,0.79,0.81,0.85,0.47,0.54,0.55
p-value,0.41,0.33,0.36,0.21,0.19,0.15,0.53,0.46,0.45
