,pearson_CBERT_R-1,pearson_CBERT_R-2,pearson_CBERT_R-L,pearson_BERT_R-1,pearson_BERT_R-2,pearson_BERT_R-l,pearson_BART_R-1,pearson_BART_R-2,pearson_BART_R-l
Pearson score,0.06,0.32,-0.04,0.29,0.39,0.28,0.14,0.15,0.12
p-value,0.15,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.01
