,pearson_CBERT_R-1,pearson_CBERT_R-2,pearson_CBERT_R-L,pearson_BERT_R-1,pearson_BERT_R-2,pearson_BERT_R-l,pearson_BART_R-1,pearson_BART_R-2,pearson_BART_R-l
Pearson score,0.47,0.54,0.39,0.58,0.7,0.65,0.35,0.56,0.45
p-value,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
