,pearson_CBERT_R-1,pearson_CBERT_R-2,pearson_CBERT_R-L,pearson_BERT_R-1,pearson_BERT_R-2,pearson_BERT_R-l,pearson_BART_R-1,pearson_BART_R-2,pearson_BART_R-l
Pearson score,0.23,0.45,0.09,0.47,0.65,0.48,0.04,0.34,0.12
p-value,0.02,0.0,0.36,0.0,0.0,0.0,0.7,0.0,0.24
