,pearson_CBERT_R-1,pearson_CBERT_R-2,pearson_CBERT_R-L,pearson_BERT_R-1,pearson_BERT_R-2,pearson_BERT_R-l,pearson_BART_R-1,pearson_BART_R-2,pearson_BART_R-l
Pearson score,0.65,0.78,0.64,0.47,0.62,0.47,0.4,0.55,0.38
p-value,0.35,0.22,0.36,0.53,0.38,0.53,0.6,0.45,0.62
