,CBERT-R,CBERT-P,CBERT-F,BERTScore-R,BERTScore-P,BERTScore-F,BARTScore,R-1,R-2,R-L
0,0.59,0.5,0.54,0.79,0.8,0.79,0.22,0.2,0.02,0.1
1,0.49,0.48,0.48,0.78,0.78,0.78,0.18,0.14,0.01,0.08
2,0.54,0.46,0.5,0.81,0.75,0.78,0.14,0.07,0.0,0.04
3,0.54,0.51,0.53,0.79,0.8,0.79,0.2,0.24,0.01,0.14
