,CBERT-R,CBERT-P,CBERT-F,BERTScore-R,BERTScore-P,BERTScore-F,BARTScore,R-1,R-2,R-L,,CBERT-R,CBERT-P,CBERT-F,BERTScore-R,BERTScore-P,BERTScore-F,BARTScore,R-1,R-2,R-L
57,0.8,0.74,0.77,0.83,0.82,0.83,0.35,0.55,0.26,0.27,,,,,,,,,,,
58,0.77,0.58,0.66,0.85,0.78,0.81,0.35,0.12,0.05,0.08,,,,,,,,,,,
59,0.84,0.43,0.57,0.84,0.75,0.79,0.33,0.03,0.01,0.03,,,,,,,,,,,
60,0.76,0.54,0.63,0.86,0.81,0.83,0.35,0.29,0.12,0.16,,,,,,,,,,,
61,0.91,0.59,0.71,0.88,0.8,0.84,0.48,0.12,0.07,0.08,,,,,,,,,,,
62,0.94,0.71,0.81,0.9,0.83,0.86,0.54,0.23,0.13,0.17,,,,,,,,,,,
63,0.83,0.74,0.78,0.83,0.83,0.83,0.34,0.37,0.18,0.21,,,,,,,,,,,
64,0.92,0.76,0.83,0.91,0.85,0.88,0.5,0.38,0.26,0.28,,,,,,,,,,,
65,0.88,0.75,0.81,0.86,0.83,0.85,0.46,0.29,0.18,0.22,,,,,,,,,,,
66,0.89,0.72,0.8,0.87,0.85,0.86,0.39,0.31,0.16,0.2,,,,,,,,,,,
67,0.75,0.55,0.63,0.87,0.8,0.83,0.38,0.19,0.09,0.13,,,,,,,,,,,
68,0.9,0.72,0.8,0.88,0.82,0.85,0.48,0.25,0.16,0.19,,,,,,,,,,,
69,0.73,0.51,0.6,0.88,0.79,0.83,0.43,0.14,0.08,0.08,,,,,,,,,,,
70,0.91,0.77,0.84,0.87,0.83,0.85,0.57,0.23,0.17,0.18,,,,,,,,,,,
71,0.79,0.58,0.67,0.85,0.81,0.83,0.38,0.17,0.07,0.1,,,,,,,,,,,
72,0.87,0.68,0.76,0.87,0.83,0.85,0.4,0.19,0.09,0.1,,,,,,,,,,,
73,0.81,0.8,0.81,0.87,0.84,0.85,0.36,0.55,0.25,0.28,,,,,,,,,,,
74,0.81,0.65,0.72,0.86,0.79,0.82,0.37,0.16,0.06,0.09,,,,,,,,,,,
75,0.77,0.64,0.7,0.85,0.79,0.82,0.38,0.22,0.06,0.11,,,,,,,,,,,
76,0.82,0.68,0.75,0.87,0.82,0.84,0.38,0.38,0.17,0.19,,,,,,,,,,,
77,0.85,0.77,0.81,0.9,0.86,0.88,0.48,0.45,0.28,0.33,,,,,,,,,,,
78,0.79,0.54,0.64,0.85,0.78,0.82,0.37,0.12,0.05,0.06,,,,,,,,,,,
79,0.78,0.8,0.79,0.86,0.85,0.85,0.36,0.56,0.28,0.28,,,,,,,,,,,
80,0.84,0.74,0.79,0.86,0.84,0.85,0.44,0.54,0.3,0.35,,,,,,,,,,,
81,0.84,0.64,0.73,0.89,0.84,0.86,0.46,0.35,0.22,0.26,,,,,,,,,,,
82,0.8,0.65,0.72,0.86,0.82,0.84,0.36,0.16,0.08,0.1,,,,,,,,,,,
83,0.87,0.68,0.76,0.9,0.86,0.88,0.51,0.2,0.12,0.14,,,,,,,,,,,
84,0.84,0.54,0.66,0.86,0.78,0.82,0.54,0.1,0.06,0.07,,,,,,,,,,,
85,0.81,0.6,0.69,0.83,0.8,0.81,0.34,0.14,0.04,0.07,,,,,,,,,,,
86,0.86,0.64,0.73,0.84,0.79,0.81,0.39,0.17,0.07,0.11,,,,,,,,,,,
87,0.78,0.72,0.75,0.84,0.8,0.82,0.37,0.48,0.29,0.35,,,,,,,,,,,
88,0.81,0.68,0.74,0.84,0.82,0.83,0.36,0.32,0.12,0.15,,,,,,,,,,,
89,0.8,0.67,0.73,0.86,0.82,0.84,0.37,0.22,0.12,0.13,,,,,,,,,,,
90,0.84,0.76,0.8,0.82,0.82,0.82,0.32,0.3,0.14,0.17,,,,,,,,,,,
91,0.82,0.69,0.75,0.88,0.82,0.85,0.43,0.24,0.15,0.17,,,,,,,,,,,
92,0.72,0.55,0.63,0.87,0.79,0.82,0.32,0.12,0.05,0.08,,,,,,,,,,,
93,0.72,0.52,0.6,0.83,0.74,0.78,0.28,0.12,0.02,0.08,,,,,,,,,,,
94,0.79,0.6,0.68,0.86,0.81,0.83,0.44,0.16,0.08,0.09,,,,,,,,,,,
95,0.85,0.7,0.77,0.89,0.84,0.86,0.46,0.25,0.12,0.18,,,,,,,,,,,
96,0.83,0.68,0.75,0.83,0.79,0.81,0.29,0.21,0.08,0.12,,,,,,,,,,,
97,0.9,0.77,0.83,0.9,0.86,0.88,0.51,0.36,0.24,0.28,,,,,,,,,,,
98,0.86,0.82,0.84,0.88,0.86,0.87,0.48,0.52,0.28,0.36,,,,,,,,,,,
99,0.82,0.69,0.75,0.88,0.82,0.85,0.44,0.31,0.13,0.2,,,,,,,,,,,
100,0.71,0.49,0.58,0.87,0.75,0.81,0.42,0.17,0.1,0.13,,,,,,,,,,,
101,0.85,0.78,0.81,0.87,0.83,0.85,0.47,0.34,0.18,0.19,,,,,,,,,,,
102,0.8,0.59,0.68,0.87,0.79,0.82,0.25,0.12,0.03,0.06,,,,,,,,,,,
103,0.89,0.63,0.74,0.88,0.8,0.84,0.38,0.15,0.06,0.09,,,,,,,,,,,
104,0.63,0.59,0.61,0.83,0.78,0.81,0.3,0.29,0.07,0.12,,,,,,,,,,,
105,0.89,0.71,0.79,0.89,0.82,0.86,0.53,0.3,0.22,0.26,,,,,,,,,,,
106,0.73,0.66,0.69,0.86,0.83,0.84,0.35,0.48,0.19,0.27,,,,,,,,,,,
107,0.88,0.78,0.82,0.88,0.85,0.87,0.48,0.53,0.39,0.41,,,,,,,,,,,
108,0.8,0.68,0.73,0.86,0.81,0.83,0.36,0.21,0.08,0.12,,,,,,,,,,,
109,0.8,0.67,0.73,0.86,0.83,0.85,0.41,0.34,0.14,0.21,,,,,,,,,,,
110,0.78,0.63,0.7,0.85,0.81,0.83,0.34,0.24,0.11,0.15,,,,,,,,,,,
111,0.74,0.69,0.71,0.84,0.8,0.82,0.39,0.29,0.14,0.18,,,,,,,,,,,
112,0.67,0.5,0.57,0.86,0.79,0.82,0.33,0.15,0.04,0.09,,,,,,,,,,,
113,0.89,0.73,0.8,0.87,0.85,0.86,0.49,0.3,0.18,0.17,,,,,,,,,,,
114,0.79,0.68,0.73,0.88,0.83,0.85,0.47,0.33,0.21,0.23,,,,,,,,,,,
115,0.65,0.45,0.54,0.83,0.75,0.79,0.21,0.04,0.01,0.02,,,,,,,,,,,
116,0.87,0.59,0.7,0.89,0.81,0.85,0.42,0.15,0.08,0.09,,,,,,,,,,,
117,0.81,0.69,0.74,0.84,0.8,0.82,0.29,0.27,0.09,0.13,,,,,,,,,,,
118,0.83,0.73,0.77,0.86,0.83,0.85,0.39,0.45,0.21,0.27,,,,,,,,,,,
119,0.58,0.53,0.55,0.81,0.79,0.8,0.26,0.19,0.05,0.13,,,,,,,,,,,
120,0.91,0.68,0.78,0.91,0.83,0.87,0.53,0.22,0.11,0.17,,,,,,,,,,,
121,0.88,0.77,0.82,0.86,0.84,0.85,0.46,0.29,0.16,0.2,,,,,,,,,,,
122,0.9,0.65,0.76,0.86,0.83,0.84,0.39,0.22,0.14,0.15,,,,,,,,,,,
123,0.84,0.71,0.77,0.83,0.82,0.82,0.36,0.28,0.11,0.13,,,,,,,,,,,
124,0.82,0.71,0.76,0.84,0.79,0.81,0.38,0.28,0.13,0.12,,,,,,,,,,,
125,0.77,0.5,0.61,0.86,0.75,0.8,0.24,0.04,0.02,0.03,,,,,,,,,,,
126,0.75,0.58,0.65,0.84,0.75,0.79,0.37,0.06,0.03,0.04,,,,,,,,,,,
127,0.85,0.6,0.7,0.83,0.75,0.79,0.38,0.15,0.06,0.1,,,,,,,,,,,
128,0.84,0.71,0.77,0.88,0.86,0.87,0.5,0.41,0.24,0.29,,,,,,,,,,,
129,0.9,0.78,0.84,0.89,0.88,0.89,0.56,0.44,0.3,0.35,,,,,,,,,,,
130,0.89,0.72,0.8,0.9,0.86,0.88,0.53,0.39,0.25,0.29,,,,,,,,,,,
131,0.75,0.67,0.7,0.87,0.84,0.85,0.38,0.51,0.26,0.34,,,,,,,,,,,
132,0.74,0.65,0.69,0.84,0.81,0.82,0.35,0.2,0.07,0.08,,,,,,,,,,,
133,0.74,0.55,0.63,0.86,0.78,0.82,0.38,0.08,0.04,0.07,,,,,,,,,,,
134,0.79,0.67,0.72,0.84,0.83,0.84,0.32,0.29,0.14,0.16,,,,,,,,,,,
135,0.79,0.76,0.78,0.85,0.83,0.84,0.49,0.42,0.25,0.33,,,,,,,,,,,
136,0.74,0.51,0.6,0.85,0.77,0.81,0.33,0.07,0.03,0.05,,,,,,,,,,,
137,0.87,0.71,0.78,0.86,0.79,0.82,0.41,0.13,0.07,0.08,,,,,,,,,,,
138,0.82,0.67,0.73,0.84,0.81,0.83,0.33,0.15,0.07,0.09,,,,,,,,,,,
139,0.84,0.67,0.74,0.85,0.82,0.84,0.39,0.19,0.09,0.1,,,,,,,,,,,
140,0.83,0.7,0.76,0.88,0.83,0.85,0.38,0.25,0.13,0.19,,,,,,,,,,,
141,0.77,0.76,0.77,0.79,0.79,0.79,0.32,0.35,0.13,0.19,,,,,,,,,,,
142,0.85,0.61,0.71,0.88,0.81,0.84,0.44,0.22,0.08,0.13,,,,,,,,,,,
143,0.79,0.69,0.74,0.88,0.84,0.86,0.37,0.3,0.15,0.22,,,,,,,,,,,
144,0.79,0.44,0.56,0.85,0.76,0.8,0.11,0.03,0,0.02,,,,,,,,,,,
145,0.83,0.64,0.72,0.84,0.81,0.83,0.33,0.17,0.07,0.1,,,,,,,,,,,
146,0.77,0.67,0.72,0.86,0.83,0.84,0.31,0.36,0.17,0.24,,,,,,,,,,,
147,0.87,0.64,0.74,0.84,0.82,0.83,0.41,0.19,0.1,0.11,,,,,,,,,,,
148,0.79,0.74,0.76,0.87,0.84,0.86,0.39,0.48,0.21,0.28,,,,,,,,,,,
149,0.9,0.65,0.76,0.88,0.83,0.85,0.5,0.16,0.11,0.11,,,,,,,,,,,
150,0.85,0.57,0.68,0.85,0.78,0.82,0.3,0.05,0.02,0.03,,,,,,,,,,,
151,0.81,0.58,0.68,0.84,0.79,0.81,0.37,0.08,0.03,0.05,,,,,,,,,,,
152,0.83,0.74,0.79,0.84,0.84,0.84,0.31,0.37,0.17,0.2,,,,,,,,,,,
153,0.87,0.73,0.8,0.89,0.83,0.86,0.48,0.5,0.29,0.35,,,,,,,,,,,
154,0.84,0.58,0.68,0.86,0.79,0.83,0.37,0.09,0.05,0.06,,,,,,,,,,,
155,0.83,0.78,0.81,0.89,0.86,0.87,0.5,0.49,0.29,0.32,,,,,,,,,,,
156,0.87,0.71,0.78,0.86,0.83,0.85,0.4,0.21,0.1,0.13,,,,,,,,,,,
157,0.86,0.56,0.68,0.86,0.77,0.81,0.45,0.04,0.02,0.04,,,,,,,,,,,
158,0.8,0.62,0.7,0.85,0.79,0.82,0.29,0.12,0.04,0.08,,,,,,,,,,,
159,0.86,0.71,0.78,0.89,0.84,0.86,0.52,0.32,0.21,0.23,,,,,,,,,,,
160,0.91,0.77,0.83,0.9,0.86,0.88,0.5,0.24,0.15,0.15,,,,,,,,,,,
161,0.83,0.71,0.76,0.83,0.82,0.82,0.36,0.27,0.16,0.17,,,,,,,,,,,
162,0.89,0.74,0.81,0.87,0.83,0.85,0.44,0.19,0.1,0.14,,,,,,,,,,,
163,0.78,0.75,0.77,0.87,0.87,0.87,0.44,0.69,0.37,0.42,,,,,,,,,,,
164,0.9,0.66,0.76,0.89,0.83,0.86,0.57,0.18,0.12,0.14,,,,,,,,,,,
165,0.76,0.73,0.75,0.82,0.8,0.81,0.37,0.37,0.17,0.22,,,,,,,,,,,
166,0.81,0.62,0.7,0.85,0.79,0.82,0.36,0.2,0.09,0.11,,,,,,,,,,,
167,0.83,0.76,0.79,0.85,0.83,0.84,0.32,0.39,0.14,0.18,,,,,,,,,,,
168,0.9,0.61,0.72,0.9,0.8,0.85,0.47,0.21,0.12,0.16,,,,,,,,,,,
169,0.87,0.71,0.78,0.9,0.84,0.87,0.49,0.32,0.19,0.26,,,,,,,,,,,
170,0.83,0.58,0.68,0.88,0.81,0.85,0.46,0.24,0.12,0.16,,,,,,,,,,,
171,0.77,0.55,0.64,0.83,0.76,0.8,0.32,0.07,0.03,0.05,,,,,,,,,,,
172,0.84,0.69,0.76,0.84,0.81,0.83,0.31,0.22,0.12,0.14,,,,,,,,,,,
173,0.79,0.72,0.76,0.83,0.8,0.82,0.3,0.31,0.1,0.14,,,,,,,,,,,
174,0.83,0.53,0.65,0.85,0.77,0.81,0.41,0.14,0.06,0.08,,,,,,,,,,,
175,0.82,0.49,0.62,0.86,0.78,0.82,0.35,0.08,0.04,0.05,,,,,,,,,,,
176,0.87,0.66,0.75,0.85,0.82,0.84,0.45,0.24,0.12,0.14,,,,,,,,,,,
177,0.86,0.75,0.8,0.85,0.82,0.83,0.47,0.39,0.23,0.23,,,,,,,,,,,
178,0.88,0.71,0.79,0.88,0.83,0.86,0.49,0.3,0.2,0.24,,,,,,,,,,,
179,0.89,0.77,0.82,0.91,0.86,0.89,0.59,0.36,0.25,0.27,,,,,,,,,,,
180,0.8,0.59,0.68,0.85,0.75,0.8,0.3,0.15,0.06,0.07,,,,,,,,,,,
181,0.78,0.66,0.72,0.86,0.81,0.84,0.36,0.38,0.18,0.22,,,,,,,,,,,
182,0.59,0.52,0.55,0.83,0.81,0.82,0.36,0.43,0.15,0.22,,,,,,,,,,,
183,0.79,0.63,0.7,0.85,0.8,0.83,0.3,0.19,0.08,0.11,,,,,,,,,,,
184,0.86,0.54,0.67,0.86,0.78,0.82,0.4,0.07,0.03,0.05,,,,,,,,,,,
185,0.89,0.67,0.77,0.85,0.81,0.83,0.47,0.21,0.1,0.13,,,,,,,,,,,
186,0.84,0.79,0.81,0.89,0.86,0.87,0.48,0.54,0.33,0.38,,,,,,,,,,,
187,0.93,0.65,0.77,0.89,0.8,0.85,0.54,0.21,0.14,0.13,,,,,,,,,,,
188,0.39,0.36,0.37,0.87,0.78,0.82,0.39,0.34,0.28,0.27,,,,,,,,,,,
189,0.91,0.84,0.87,0.91,0.88,0.9,0.53,0.59,0.42,0.42,,,,,,,,,,,
190,0.8,0.54,0.64,0.85,0.77,0.81,0.27,0.13,0.05,0.09,,,,,,,,,,,
191,0.84,0.87,0.86,0.87,0.86,0.87,0.37,0.62,0.3,0.38,,,,,,,,,,,
192,0.81,0.59,0.68,0.87,0.77,0.82,0.34,0.09,0.04,0.05,,,,,,,,,,,
193,0.8,0.55,0.65,0.87,0.77,0.82,0.36,0.08,0.03,0.06,,,,,,,,,,,
194,0.7,0.72,0.71,0.84,0.83,0.84,0.4,0.55,0.27,0.32,,,,,,,,,,,
195,0.8,0.78,0.79,0.86,0.85,0.85,0.34,0.48,0.2,0.25,,,,,,,,,,,
196,0.8,0.71,0.75,0.85,0.81,0.83,0.35,0.25,0.09,0.13,,,,,,,,,,,
197,0.89,0.71,0.79,0.88,0.83,0.85,0.45,0.3,0.19,0.22,,,,,,,,,,,
198,0.89,0.73,0.8,0.84,0.83,0.83,0.43,0.34,0.18,0.17,,,,,,,,,,,
199,0.85,0.59,0.7,0.87,0.82,0.84,0.47,0.15,0.09,0.11,,,,,,,,,,,
200,0.75,0.48,0.59,0.86,0.77,0.81,0.3,0.11,0.04,0.07,,,,,,,,,,,
201,0.82,0.63,0.72,0.85,0.79,0.82,0.34,0.15,0.06,0.08,,,,,,,,,,,
202,0.83,0.71,0.77,0.85,0.81,0.82,0.39,0.36,0.2,0.23,,,,,,,,,,,
203,0.76,0.73,0.74,0.87,0.82,0.85,0.42,0.35,0.22,0.25,,,,,,,,,,,
204,0.77,0.69,0.73,0.85,0.81,0.83,0.32,0.39,0.14,0.18,,,,,,,,,,,
205,0.8,0.55,0.65,0.85,0.78,0.81,0.31,0.05,0.02,0.04,,,,,,,,,,,
206,0.91,0.77,0.83,0.88,0.82,0.85,0.58,0.35,0.24,0.26,,,,,,,,,,,
207,0.77,0.41,0.54,0.85,0.76,0.8,0.39,0.06,0.02,0.04,,,,,,,,,,,
208,0.87,0.89,0.88,0.89,0.89,0.89,0.49,0.67,0.43,0.49,,,,,,,,,,,
209,0.81,0.78,0.8,0.87,0.83,0.85,0.37,0.47,0.24,0.27,,,,,,,,,,,
210,0.73,0.62,0.67,0.85,0.8,0.82,0.38,0.21,0.09,0.11,,,,,,,,,,,
211,0.64,0.61,0.62,0.84,0.8,0.82,0.27,0.25,0.08,0.16,,,,,,,,,,,
212,0.84,0.78,0.81,0.85,0.8,0.83,0.47,0.34,0.22,0.26,,,,,,,,,,,
213,0.76,0.71,0.73,0.82,0.81,0.82,0.33,0.35,0.16,0.16,,,,,,,,,,,
214,0.71,0.68,0.69,0.84,0.8,0.82,0.31,0.19,0.09,0.09,,,,,,,,,,,
215,0.75,0.65,0.7,0.87,0.83,0.85,0.36,0.4,0.17,0.26,,,,,,,,,,,
216,0.92,0.59,0.72,0.89,0.81,0.85,0.45,0.21,0.11,0.14,,,,,,,,,,,
217,0.75,0.48,0.58,0.84,0.78,0.81,0.28,0.09,0.02,0.05,,,,,,,,,,,
218,0.8,0.64,0.71,0.85,0.78,0.81,0.35,0.2,0.08,0.11,,,,,,,,,,,
219,0.84,0.68,0.75,0.9,0.85,0.87,0.53,0.37,0.25,0.25,,,,,,,,,,,
220,0.88,0.85,0.87,0.89,0.87,0.88,0.48,0.59,0.36,0.45,,,,,,,,,,,
221,0.93,0.64,0.76,0.84,0.81,0.83,0.47,0.14,0.09,0.09,,,,,,,,,,,
222,0.83,0.62,0.71,0.84,0.79,0.82,0.32,0.15,0.07,0.08,,,,,,,,,,,
223,0.73,0.56,0.63,0.86,0.77,0.81,0.15,0.07,0.02,0.06,,,,,,,,,,,
224,0.75,0.42,0.54,0.9,0.75,0.81,0.48,0.07,0.04,0.05,,,,,,,,,,,
225,0.74,0.66,0.7,0.85,0.8,0.82,0.3,0.25,0.07,0.15,,,,,,,,,,,
226,0.86,0.68,0.76,0.86,0.79,0.83,0.37,0.18,0.09,0.12,,,,,,,,,,,
227,0.83,0.67,0.74,0.85,0.8,0.82,0.35,0.23,0.09,0.13,,,,,,,,,,,
228,0.84,0.81,0.82,0.84,0.84,0.84,0.39,0.42,0.22,0.26,,,,,,,,,,,
229,0.86,0.67,0.75,0.88,0.82,0.85,0.35,0.29,0.15,0.16,,,,,,,,,,,
230,0.86,0.63,0.73,0.88,0.82,0.85,0.44,0.26,0.1,0.18,,,,,,,,,,,
231,0.88,0.56,0.68,0.89,0.81,0.85,0.54,0.2,0.13,0.16,,,,,,,,,,,
232,0.86,0.76,0.81,0.86,0.84,0.85,0.45,0.3,0.18,0.21,,,,,,,,,,,
233,0.62,0.36,0.46,0.81,0.72,0.76,0.25,0.07,0.03,0.05,,,,,,,,,,,
234,0.8,0.52,0.63,0.86,0.77,0.81,0.27,0.09,0.03,0.07,,,,,,,,,,,
235,0.84,0.59,0.69,0.88,0.8,0.84,0.44,0.14,0.08,0.12,,,,,,,,,,,
236,0.84,0.59,0.69,0.89,0.82,0.85,0.42,0.25,0.13,0.15,,,,,,,,,,,
237,0.85,0.72,0.78,0.88,0.82,0.85,0.39,0.23,0.1,0.16,,,,,,,,,,,
238,0.81,0.66,0.73,0.85,0.81,0.83,0.37,0.23,0.11,0.16,,,,,,,,,,,
239,0.79,0.61,0.69,0.85,0.78,0.82,0.31,0.09,0.05,0.06,,,,,,,,,,,
240,0.7,0.59,0.64,0.83,0.77,0.8,0.32,0.08,0.03,0.05,,,,,,,,,,,
241,0.84,0.59,0.69,0.87,0.78,0.82,0.37,0.1,0.05,0.05,,,,,,,,,,,
242,0.78,0.61,0.68,0.87,0.83,0.85,0.31,0.23,0.1,0.11,,,,,,,,,,,
243,0.8,0.7,0.75,0.88,0.83,0.86,0.39,0.34,0.18,0.2,,,,,,,,,,,
244,0.86,0.73,0.79,0.84,0.81,0.82,0.4,0.34,0.18,0.21,,,,,,,,,,,
245,0.83,0.66,0.73,0.87,0.81,0.84,0.44,0.32,0.17,0.22,,,,,,,,,,,
246,0.77,0.48,0.59,0.84,0.76,0.8,0.19,0.06,0.01,0.05,,,,,,,,,,,
247,0.81,0.58,0.68,0.88,0.8,0.84,0.43,0.16,0.08,0.12,,,,,,,,,,,
248,0.81,0.68,0.74,0.87,0.81,0.84,0.41,0.28,0.13,0.17,,,,,,,,,,,
249,0.81,0.67,0.73,0.86,0.82,0.84,0.39,0.45,0.25,0.3,,,,,,,,,,,
250,0.85,0.61,0.71,0.88,0.81,0.85,0.34,0.19,0.07,0.12,,,,,,,,,,,
251,0.91,0.72,0.8,0.88,0.84,0.86,0.56,0.37,0.25,0.29,,,,,,,,,,,
252,0.78,0.67,0.72,0.85,0.83,0.84,0.27,0.2,0.08,0.1,,,,,,,,,,,
253,0.76,0.64,0.69,0.85,0.8,0.82,0.31,0.13,0.03,0.08,,,,,,,,,,,
254,0.71,0.66,0.68,0.87,0.84,0.85,0.43,0.39,0.15,0.24,,,,,,,,,,,
