,pearson_CBERT_R-1,pearson_CBERT_R-2,pearson_CBERT_R-L,pearson_BERT_R-1,pearson_BERT_R-2,pearson_BERT_R-l,pearson_BART_R-1,pearson_BART_R-2,pearson_BART_R-l
Pearson score,0.1,0.34,0.03,-0.25,-0.05,-0.26,0.12,0.18,0.14
p-value,0.07,0.0,0.56,0.0,0.31,0.0,0.03,0.0,0.01
