,CBERT,BERTScore,BARTScore,R-1,R-2,R-L
116,0.53,0.79,0.21,0.13,0.02,0.08
117,0.65,0.8,0.21,0.13,0.02,0.07
118,0.57,0.8,0.18,0.23,0.03,0.12
119,0.42,0.8,0.19,0.05,0.0,0.04
120,0.67,0.83,0.26,0.1,0.02,0.06
121,0.59,0.81,0.25,0.11,0.01,0.07
122,0.66,0.82,0.28,0.02,0.0,0.02
123,0.56,0.79,0.23,0.11,0.01,0.06
124,0.55,0.81,0.29,0.09,0.01,0.05
125,0.58,0.78,0.17,0.09,0.01,0.05
126,0.54,0.79,0.21,0.09,0.01,0.06
127,0.53,0.78,0.22,0.22,0.03,0.13
128,0.54,0.82,0.24,0.06,0.01,0.05
129,0.67,0.8,0.25,0.18,0.03,0.09
130,0.54,0.8,0.21,0.15,0.02,0.08
131,0.52,0.81,0.28,0.07,0.01,0.05
132,0.52,0.81,0.28,0.04,0.0,0.03
133,0.55,0.8,0.19,0.03,0.0,0.02
134,0.71,0.79,0.19,0.2,0.04,0.09
135,0.51,0.8,0.26,0.07,0.0,0.05
136,0.54,0.8,0.25,0.28,0.04,0.15
137,0.6,0.79,0.2,0.17,0.03,0.1
138,0.63,0.8,0.23,0.14,0.01,0.07
139,0.67,0.8,0.31,0.12,0.04,0.08
140,0.5,0.79,0.26,0.38,0.05,0.19
141,0.49,0.8,0.26,0.1,0.01,0.06
142,0.55,0.8,0.25,0.28,0.03,0.15
143,0.47,0.8,0.21,0.27,0.03,0.15
144,0.46,0.79,0.27,0.31,0.05,0.17
145,0.62,0.82,0.28,0.03,0.01,0.03
146,0.6,0.83,0.24,0.03,0.01,0.03
147,0.63,0.82,0.23,0.11,0.02,0.07
148,0.53,0.8,0.23,0.16,0.01,0.1
149,0.57,0.8,0.24,0.28,0.04,0.14
150,0.66,0.8,0.24,0.19,0.03,0.08
151,0.57,0.8,0.19,0.09,0.02,0.06
152,0.66,0.82,0.22,0.22,0.04,0.1
153,0.48,0.78,0.23,0.17,0.01,0.09
154,0.6,0.81,0.22,0.13,0.01,0.08
155,0.53,0.82,0.17,0.08,0.01,0.05
156,0.61,0.81,0.26,0.09,0.02,0.06
157,0.67,0.81,0.26,0.21,0.04,0.1
158,0.59,0.8,0.24,0.21,0.03,0.11
159,0.44,0.78,0.22,0.05,0.0,0.04
160,0.65,0.81,0.25,0.4,0.08,0.17
161,0.58,0.83,0.2,0.04,0.01,0.03
162,0.65,0.81,0.27,0.16,0.02,0.09
163,0.49,0.81,0.21,0.11,0.0,0.07
164,0.53,0.8,0.23,0.27,0.04,0.15
165,0.57,0.83,0.25,0.12,0.01,0.07
166,0.6,0.79,0.28,0.14,0.01,0.08
167,0.73,0.8,0.24,0.08,0.02,0.05
168,0.52,0.79,0.2,0.06,0.01,0.05
169,0.53,0.82,0.31,0.24,0.01,0.14
170,0.5,0.82,0.22,0.15,0.03,0.09
171,0.53,0.81,0.17,0.04,0.0,0.03
172,0.59,0.8,0.19,0.14,0.01,0.06
173,0.52,0.8,0.18,0.06,0.01,0.04
174,0.56,0.8,0.19,0.05,0.01,0.03
175,0.57,0.8,0.2,0.16,0.01,0.09
176,0.77,0.83,0.22,0.06,0.02,0.04
177,0.62,0.8,0.19,0.13,0.01,0.07
178,0.54,0.8,0.24,0.22,0.04,0.12
179,0.6,0.8,0.25,0.1,0.03,0.07
180,0.51,0.78,0.2,0.3,0.03,0.12
181,0.53,0.8,0.25,0.19,0.02,0.1
182,0.45,0.8,0.13,0.06,0.0,0.04
183,0.57,0.79,0.22,0.12,0.01,0.07
184,0.58,0.8,0.3,0.13,0.02,0.08
185,0.62,0.81,0.25,0.11,0.02,0.06
186,0.52,0.8,0.19,0.16,0.02,0.1
187,0.56,0.81,0.22,0.09,0.01,0.05
188,0.38,0.78,0.15,0.07,0.01,0.05
189,0.53,0.8,0.23,0.21,0.03,0.11
190,0.63,0.81,0.19,0.17,0.03,0.1
191,0.59,0.81,0.14,0.03,0.0,0.03
192,0.47,0.79,0.23,0.1,0.0,0.05
193,0.53,0.79,0.22,0.3,0.03,0.14
194,0.62,0.82,0.26,0.14,0.03,0.1
195,0.51,0.82,0.2,0.05,0.0,0.04
196,0.48,0.78,0.28,0.06,0.01,0.05
197,0.7,0.81,0.25,0.2,0.04,0.1
198,0.63,0.83,0.26,0.07,0.01,0.05
199,0.64,0.83,0.26,0.1,0.01,0.06
200,0.6,0.81,0.25,0.11,0.02,0.06
201,0.48,0.79,0.25,0.11,0.0,0.06
202,0.59,0.8,0.24,0.18,0.03,0.09
203,0.37,0.77,0.18,0.11,0.0,0.07
204,0.6,0.8,0.18,0.11,0.01,0.06
205,0.54,0.78,0.23,0.11,0.01,0.06
206,0.51,0.8,0.24,0.23,0.03,0.12
207,0.52,0.8,0.19,0.22,0.02,0.12
208,0.54,0.81,0.24,0.21,0.02,0.12
209,0.52,0.79,0.27,0.22,0.01,0.11
210,0.56,0.82,0.29,0.11,0.03,0.07
211,0.51,0.79,0.19,0.12,0.01,0.08
212,0.68,0.81,0.24,0.33,0.08,0.16
213,0.69,0.8,0.25,0.22,0.02,0.1
214,0.58,0.8,0.24,0.22,0.03,0.12
215,0.5,0.8,0.22,0.2,0.02,0.1
216,0.49,0.82,0.21,0.18,0.02,0.11
217,0.44,0.81,0.21,0.05,0.0,0.03
218,0.62,0.82,0.19,0.12,0.01,0.06
219,0.56,0.8,0.22,0.33,0.04,0.13
220,0.53,0.8,0.25,0.14,0.02,0.09
221,0.68,0.81,0.29,0.2,0.05,0.1
222,0.56,0.79,0.24,0.11,0.02,0.07
223,0.48,0.8,0.29,0.2,0.02,0.12
224,0.52,0.79,0.26,0.22,0.02,0.11
225,0.52,0.79,0.21,0.3,0.03,0.17
226,0.57,0.8,0.25,0.14,0.03,0.08
227,0.51,0.79,0.23,0.13,0.01,0.07
228,0.52,0.8,0.2,0.21,0.02,0.11
229,0.61,0.81,0.21,0.36,0.06,0.17
230,0.51,0.79,0.21,0.22,0.02,0.1
231,0.61,0.83,0.24,0.1,0.0,0.06
232,0.65,0.81,0.22,0.11,0.02,0.06
233,0.51,0.79,0.22,0.07,0.0,0.03
234,0.51,0.8,0.22,0.14,0.01,0.09
235,0.5,0.82,0.22,0.11,0.0,0.06
236,0.49,0.8,0.23,0.1,0.01,0.06
237,0.58,0.81,0.21,0.04,0.01,0.03
238,0.56,0.79,0.26,0.24,0.03,0.11
239,0.57,0.81,0.26,0.22,0.03,0.11
240,0.57,0.79,0.22,0.15,0.01,0.08
241,0.69,0.8,0.24,0.12,0.02,0.07
242,0.46,0.82,0.13,0.07,0.01,0.05
243,0.54,0.81,0.21,0.3,0.03,0.13
244,0.42,0.8,0.22,0.03,0.01,0.03
245,0.56,0.79,0.25,0.3,0.03,0.15
246,0.5,0.8,0.27,0.15,0.02,0.1
247,0.61,0.83,0.27,0.1,0.02,0.06
248,0.64,0.81,0.26,0.26,0.05,0.14
249,0.62,0.8,0.24,0.22,0.03,0.11
250,0.54,0.8,0.29,0.28,0.02,0.16
251,0.66,0.81,0.22,0.25,0.05,0.13
252,0.63,0.8,0.21,0.42,0.09,0.2
253,0.63,0.81,0.23,0.28,0.04,0.11
254,0.51,0.81,0.24,0.13,0.02,0.08
255,0.51,0.79,0.28,0.05,0.01,0.04
256,0.65,0.82,0.23,0.18,0.04,0.09
257,0.55,0.8,0.24,0.22,0.02,0.11
258,0.57,0.81,0.29,0.05,0.01,0.04
259,0.48,0.83,0.21,0.02,0.0,0.02
260,0.5,0.8,0.24,0.25,0.04,0.14
261,0.59,0.82,0.23,0.19,0.03,0.1
262,0.54,0.81,0.25,0.14,0.01,0.08
263,0.63,0.82,0.25,0.19,0.03,0.1
264,0.53,0.8,0.17,0.07,0.0,0.04
265,0.53,0.8,0.26,0.18,0.02,0.12
266,0.52,0.8,0.23,0.18,0.01,0.12
267,0.46,0.79,0.16,0.08,0.0,0.06
268,0.56,0.8,0.26,0.24,0.03,0.12
269,0.52,0.8,0.25,0.21,0.02,0.1
270,0.61,0.81,0.23,0.13,0.02,0.07
271,0.62,0.79,0.23,0.18,0.03,0.11
272,0.65,0.82,0.21,0.04,0.0,0.03
273,0.5,0.79,0.19,0.24,0.01,0.13
274,0.59,0.81,0.23,0.1,0.01,0.06
275,0.49,0.81,0.25,0.02,0.0,0.02
276,0.61,0.8,0.25,0.29,0.05,0.12
277,0.56,0.82,0.19,0.07,0.02,0.05
278,0.49,0.78,0.31,0.12,0.01,0.08
279,0.55,0.82,0.23,0.07,0.01,0.05
280,0.58,0.82,0.22,0.09,0.0,0.06
281,0.58,0.81,0.23,0.32,0.02,0.16
282,0.57,0.77,0.22,0.31,0.04,0.17
283,0.63,0.8,0.12,0.1,0.02,0.06
284,0.61,0.83,0.24,0.13,0.02,0.06
285,0.52,0.83,0.26,0.04,0.0,0.03
286,0.57,0.8,0.27,0.16,0.02,0.09
287,0.45,0.8,0.28,0.02,0.0,0.02
288,0.55,0.79,0.21,0.16,0.01,0.11
289,0.65,0.82,0.23,0.3,0.06,0.14
290,0.48,0.8,0.27,0.18,0.03,0.1
291,0.49,0.8,0.2,0.08,0.01,0.06
292,0.59,0.81,0.18,0.11,0.02,0.07
293,0.57,0.79,0.23,0.06,0.01,0.03
294,0.42,0.82,0.22,0.04,0.01,0.03
295,0.54,0.81,0.27,0.06,0.01,0.05
296,0.46,0.8,0.24,0.09,0.01,0.05
297,0.57,0.79,0.26,0.21,0.01,0.12
298,0.54,0.78,0.33,0.13,0.03,0.08
299,0.64,0.81,0.2,0.05,0.01,0.03
300,0.5,0.81,0.24,0.11,0.01,0.06
301,0.62,0.8,0.23,0.29,0.05,0.15
302,0.4,0.81,0.14,0.09,0.0,0.05
303,0.71,0.81,0.21,0.08,0.02,0.05
304,0.47,0.81,0.19,0.06,0.0,0.04
305,0.52,0.8,0.24,0.23,0.01,0.14
306,0.57,0.81,0.29,0.15,0.03,0.09
307,0.57,0.81,0.2,0.1,0.01,0.06
308,0.55,0.79,0.19,0.14,0.01,0.08
309,0.64,0.82,0.25,0.19,0.02,0.1
310,0.48,0.8,0.17,0.12,0.01,0.07
311,0.54,0.82,0.29,0.22,0.02,0.12
312,0.53,0.81,0.24,0.28,0.04,0.15
313,0.65,0.8,0.26,0.27,0.05,0.12
314,0.54,0.79,0.21,0.21,0.02,0.12
315,0.65,0.8,0.3,0.37,0.11,0.18
316,0.61,0.81,0.2,0.08,0.02,0.05
317,0.56,0.81,0.25,0.26,0.05,0.11
318,0.51,0.78,0.23,0.23,0.01,0.12
319,0.57,0.81,0.22,0.23,0.05,0.13
320,0.65,0.83,0.22,0.03,0.0,0.02
321,0.64,0.8,0.26,0.11,0.01,0.06
322,0.58,0.81,0.19,0.14,0.02,0.08
323,0.62,0.84,0.26,0.11,0.03,0.08
324,0.47,0.8,0.21,0.15,0.02,0.08
325,0.53,0.81,0.2,0.13,0.0,0.07
326,0.57,0.81,0.27,0.19,0.04,0.1
327,0.61,0.83,0.26,0.15,0.03,0.1
328,0.56,0.82,0.25,0.22,0.02,0.11
329,0.58,0.81,0.2,0.03,0.01,0.03
330,0.51,0.8,0.26,0.08,0.01,0.05
331,0.59,0.8,0.21,0.05,0.01,0.03
332,0.71,0.82,0.24,0.08,0.01,0.05
333,0.5,0.8,0.15,0.1,0.01,0.06
334,0.48,0.81,0.19,0.02,0.0,0.02
335,0.47,0.82,0.2,0.1,0.02,0.07
336,0.59,0.81,0.24,0.05,0.01,0.04
337,0.61,0.82,0.24,0.23,0.03,0.12
338,0.54,0.82,0.2,0.19,0.01,0.09
339,0.61,0.78,0.21,0.22,0.04,0.12
340,0.57,0.81,0.19,0.29,0.04,0.14
341,0.53,0.81,0.18,0.1,0.01,0.06
342,0.64,0.81,0.25,0.22,0.05,0.12
343,0.44,0.79,0.25,0.2,0.02,0.1
344,0.52,0.8,0.26,0.21,0.04,0.13
345,0.52,0.8,0.24,0.04,0.0,0.03
346,0.48,0.81,0.24,0.02,0.0,0.02
347,0.61,0.81,0.19,0.28,0.03,0.14
348,0.48,0.81,0.21,0.1,0.01,0.06
349,0.55,0.81,0.28,0.26,0.03,0.13
350,0.62,0.82,0.18,0.21,0.03,0.11
