,CBERT,BERTScore,BARTScore,R-1,R-2,R-L
0,0.59,0.82,0.19,0.05,0.01,0.03
1,0.58,0.81,0.13,0.05,0.0,0.03
2,0.45,0.79,0.32,0.07,0.0,0.05
3,0.59,0.8,0.27,0.07,0.01,0.05
4,0.43,0.79,0.27,0.2,0.01,0.11
5,0.51,0.8,0.18,0.38,0.07,0.28
6,0.48,0.8,0.22,0.34,0.05,0.21
7,0.58,0.8,0.21,0.15,0.02,0.08
8,0.6,0.82,0.24,0.11,0.02,0.07
9,0.52,0.8,0.19,0.2,0.01,0.1
10,0.67,0.84,0.25,0.24,0.04,0.11
11,0.58,0.8,0.23,0.17,0.02,0.09
12,0.44,0.79,0.22,0.1,0.0,0.07
13,0.6,0.82,0.14,0.01,0.0,0.01
14,0.56,0.8,0.24,0.24,0.03,0.12
15,0.65,0.81,0.27,0.15,0.03,0.07
16,0.53,0.82,0.25,0.23,0.03,0.16
17,0.54,0.83,0.26,0.05,0.01,0.04
18,0.51,0.81,0.14,0.05,0.0,0.03
19,0.58,0.8,0.28,0.08,0.01,0.04
20,0.6,0.8,0.21,0.16,0.02,0.08
21,0.5,0.8,0.26,0.05,0.01,0.03
22,0.58,0.79,0.23,0.21,0.02,0.12
23,0.62,0.8,0.24,0.17,0.02,0.1
24,0.53,0.81,0.22,0.13,0.01,0.07
25,0.5,0.8,0.21,0.1,0.01,0.06
26,0.52,0.82,0.24,0.25,0.03,0.14
27,0.44,0.81,0.24,0.09,0.01,0.05
28,0.59,0.81,0.25,0.33,0.06,0.15
29,0.53,0.78,0.23,0.41,0.06,0.22
30,0.59,0.82,0.24,0.17,0.03,0.1
31,0.53,0.8,0.18,0.09,0.01,0.05
32,0.5,0.79,0.26,0.28,0.03,0.16
33,0.53,0.8,0.29,0.09,0.01,0.06
34,0.58,0.79,0.27,0.04,0.01,0.03
35,0.56,0.82,0.26,0.03,0.01,0.02
36,0.59,0.82,0.29,0.12,0.01,0.06
37,0.66,0.82,0.19,0.08,0.02,0.05
38,0.54,0.82,0.23,0.14,0.01,0.08
39,0.52,0.82,0.27,0.06,0.01,0.05
40,0.6,0.79,0.2,0.35,0.03,0.16
41,0.46,0.79,0.25,0.12,0.01,0.08
42,0.52,0.81,0.3,0.32,0.03,0.16
43,0.68,0.82,0.17,0.05,0.01,0.03
44,0.53,0.8,0.25,0.07,0.0,0.05
45,0.59,0.8,0.24,0.24,0.04,0.14
46,0.53,0.79,0.42,0.09,0.02,0.07
47,0.52,0.82,0.29,0.16,0.03,0.11
48,0.6,0.8,0.28,0.11,0.01,0.07
49,0.53,0.79,0.25,0.11,0.0,0.07
50,0.51,0.78,0.24,0.31,0.04,0.16
51,0.46,0.82,0.25,0.04,0.01,0.04
52,0.54,0.81,0.24,0.05,0.0,0.04
53,0.59,0.8,0.31,0.2,0.02,0.1
54,0.56,0.81,0.2,0.22,0.02,0.1
55,0.62,0.84,0.18,0.17,0.03,0.1
56,0.49,0.79,0.26,0.3,0.01,0.16
57,0.63,0.81,0.2,0.22,0.03,0.09
58,0.58,0.81,0.18,0.34,0.02,0.16
59,0.61,0.81,0.22,0.15,0.02,0.09
60,0.54,0.78,0.17,0.41,0.07,0.22
61,0.61,0.82,0.23,0.18,0.02,0.1
62,0.61,0.82,0.23,0.2,0.03,0.11
63,0.61,0.82,0.24,0.04,0.0,0.03
64,0.58,0.82,0.25,0.25,0.04,0.13
65,0.49,0.8,0.23,0.03,0.0,0.03
66,0.61,0.83,0.25,0.05,0.01,0.03
67,0.44,0.81,0.18,0.2,0.01,0.11
68,0.64,0.82,0.19,0.17,0.02,0.08
69,0.48,0.81,0.26,0.14,0.01,0.07
70,0.65,0.81,0.25,0.29,0.05,0.13
71,0.67,0.82,0.24,0.11,0.01,0.07
72,0.57,0.8,0.26,0.18,0.02,0.1
73,0.49,0.82,0.22,0.07,0.01,0.04
74,0.56,0.79,0.24,0.1,0.02,0.07
75,0.46,0.79,0.25,0.15,0.01,0.09
76,0.54,0.81,0.23,0.22,0.02,0.11
77,0.57,0.8,0.23,0.24,0.03,0.13
78,0.65,0.83,0.32,0.06,0.02,0.05
79,0.65,0.81,0.27,0.1,0.02,0.06
80,0.6,0.8,0.29,0.34,0.06,0.14
81,0.65,0.82,0.21,0.04,0.01,0.02
82,0.66,0.82,0.26,0.12,0.03,0.07
83,0.58,0.79,0.25,0.12,0.01,0.07
84,0.66,0.81,0.26,0.21,0.04,0.1
85,0.63,0.81,0.26,0.18,0.04,0.09
86,0.54,0.8,0.18,0.03,0.0,0.02
87,0.54,0.79,0.25,0.23,0.03,0.12
88,0.6,0.8,0.23,0.14,0.01,0.07
89,0.61,0.82,0.21,0.03,0.0,0.03
90,0.63,0.8,0.18,0.03,0.0,0.03
91,0.59,0.81,0.22,0.31,0.09,0.15
92,0.55,0.8,0.21,0.16,0.02,0.09
93,0.46,0.8,0.21,0.06,0.0,0.05
94,0.58,0.8,0.23,0.18,0.02,0.1
95,0.6,0.81,0.22,0.19,0.03,0.11
96,0.62,0.8,0.2,0.11,0.01,0.06
97,0.5,0.8,0.29,0.31,0.04,0.15
98,0.56,0.8,0.22,0.12,0.02,0.07
99,0.51,0.81,0.25,0.08,0.01,0.06
100,0.5,0.8,0.19,0.15,0.0,0.09
101,0.48,0.79,0.27,0.21,0.02,0.12
102,0.59,0.81,0.25,0.11,0.02,0.08
103,0.63,0.82,0.21,0.1,0.02,0.07
104,0.48,0.8,0.26,0.12,0.01,0.07
105,0.47,0.81,0.25,0.13,0.0,0.09
106,0.55,0.8,0.26,0.16,0.02,0.09
107,0.55,0.83,0.22,0.15,0.02,0.08
108,0.6,0.79,0.24,0.18,0.02,0.11
109,0.61,0.81,0.38,0.23,0.04,0.14
110,0.5,0.79,0.24,0.26,0.03,0.15
111,0.6,0.8,0.23,0.25,0.03,0.13
112,0.55,0.79,0.21,0.44,0.09,0.22
113,0.65,0.82,0.27,0.17,0.03,0.1
114,0.53,0.82,0.23,0.21,0.03,0.11
115,0.56,0.83,0.23,0.01,0.0,0.01
