,pearson_CBERT_R-1,pearson_CBERT_R-2,pearson_CBERT_R-L,pearson_BERT_R-1,pearson_BERT_R-2,pearson_BERT_R-l,pearson_BART_R-1,pearson_BART_R-2,pearson_BART_R-l
Pearson score,1.0,1.0,0.99,0.6,0.59,0.67,0.84,0.82,0.84
p-value,0.0,0.0,0.01,0.4,0.41,0.33,0.16,0.18,0.16
