,pearson_CBERT_R-1,pearson_CBERT_R-2,pearson_CBERT_R-L,pearson_BERT_R-1,pearson_BERT_R-2,pearson_BERT_R-l,pearson_BART_R-1,pearson_BART_R-2,pearson_BART_R-l
Pearson score,0.71,0.74,0.67,0.18,0.26,0.23,0.26,0.42,0.38
p-value,0.0,0.0,0.0,0.44,0.27,0.33,0.27,0.07,0.1
