,pearson_CBERT_R-1,pearson_CBERT_R-2,pearson_CBERT_R-L,pearson_BERT_R-1,pearson_BERT_R-2,pearson_BERT_R-l,pearson_BART_R-1,pearson_BART_R-2,pearson_BART_R-l
Pearson score,0.85,0.93,0.96,0.85,0.88,0.84,0.91,0.97,0.99
p-value,0.15,0.07,0.04,0.15,0.12,0.16,0.09,0.03,0.01
