,pearson_CBERT_R-1,pearson_CBERT_R-2,pearson_CBERT_R-L,pearson_BERT_R-1,pearson_BERT_R-2,pearson_BERT_R-l,pearson_BART_R-1,pearson_BART_R-2,pearson_BART_R-l
Pearson score,0.55,0.62,0.51,0.19,0.17,0.18,0.15,0.16,0.17
p-value,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
