,pearson_CBERT_R-1,pearson_CBERT_R-2,pearson_CBERT_R-L,pearson_BERT_R-1,pearson_BERT_R-2,pearson_BERT_R-l,pearson_BART_R-1,pearson_BART_R-2,pearson_BART_R-l
Pearson score,0.55,0.62,0.5,0.09,0.14,0.07,0.2,0.24,0.24
p-value,0.0,0.0,0.0,0.05,0.0,0.13,0.0,0.0,0.0
