,pearson_CBERT_R-1,pearson_CBERT_R-2,pearson_CBERT_R-L,pearson_BERT_R-1,pearson_BERT_R-2,pearson_BERT_R-l,pearson_BART_R-1,pearson_BART_R-2,pearson_BART_R-l
Pearson score,-0.47,-0.03,-0.52,-0.18,0.16,-0.19,0.1,0.24,0.11
p-value,0.0,0.8,0.0,0.08,0.12,0.05,0.34,0.02,0.27
