,pearson_CBERT_R-1,pearson_CBERT_R-2,pearson_CBERT_R-L,pearson_BERT_R-1,pearson_BERT_R-2,pearson_BERT_R-l,pearson_BART_R-1,pearson_BART_R-2,pearson_BART_R-l
Pearson score,0.37,0.45,0.27,0.52,0.68,0.55,0.39,0.23,0.29
p-value,0.47,0.36,0.61,0.29,0.14,0.26,0.45,0.66,0.57
