,CBERT,BERTScore,BARTScore,R-1,R-2,R-L
116,0.53,0.79,0.21,0.13,0.02,0.08
117,0.65,0.8,0.21,0.13,0.02,0.07
118,0.57,0.8,0.18,0.23,0.03,0.12
119,0.42,0.8,0.19,0.05,0.0,0.04
120,0.67,0.83,0.26,0.1,0.02,0.06
121,0.59,0.81,0.25,0.11,0.01,0.07
122,0.66,0.82,0.28,0.02,0.0,0.02
123,0.56,0.79,0.23,0.11,0.01,0.06
124,0.55,0.81,0.29,0.09,0.01,0.05
125,0.58,0.78,0.17,0.09,0.01,0.05
126,0.54,0.79,0.21,0.09,0.01,0.06
127,0.53,0.78,0.22,0.22,0.03,0.13
128,0.54,0.82,0.24,0.06,0.01,0.05
129,0.67,0.8,0.25,0.18,0.03,0.09
130,0.54,0.8,0.21,0.15,0.02,0.08
131,0.52,0.81,0.28,0.07,0.01,0.05
132,0.52,0.81,0.28,0.04,0.0,0.03
133,0.55,0.8,0.19,0.03,0.0,0.02
134,0.71,0.79,0.19,0.2,0.04,0.09
135,0.51,0.8,0.26,0.07,0.0,0.05
136,0.54,0.8,0.25,0.28,0.04,0.15
137,0.6,0.79,0.2,0.17,0.03,0.1
138,0.63,0.8,0.23,0.14,0.01,0.07
139,0.67,0.8,0.31,0.12,0.04,0.08
140,0.5,0.79,0.26,0.38,0.05,0.19
141,0.49,0.8,0.26,0.1,0.01,0.06
142,0.55,0.8,0.25,0.28,0.03,0.15
143,0.47,0.8,0.21,0.27,0.03,0.15
144,0.46,0.79,0.27,0.31,0.05,0.17
145,0.62,0.82,0.28,0.03,0.01,0.03
146,0.6,0.83,0.24,0.03,0.01,0.03
147,0.63,0.82,0.23,0.11,0.02,0.07
148,0.53,0.8,0.23,0.16,0.01,0.1
149,0.57,0.8,0.24,0.28,0.04,0.14
150,0.66,0.8,0.24,0.19,0.03,0.08
