,pearson_CBERT_R-1,pearson_CBERT_R-2,pearson_CBERT_R-L,pearson_BERT_R-1,pearson_BERT_R-2,pearson_BERT_R-l,pearson_BART_R-1,pearson_BART_R-2,pearson_BART_R-l
Pearson score,-0.08,0.18,-0.15,-0.34,-0.15,-0.35,-0.0,0.07,0.02
p-value,0.36,0.03,0.06,0.0,0.06,0.0,0.99,0.42,0.79
