,pearson_CBERT_R-1,pearson_CBERT_R-2,pearson_CBERT_R-L,pearson_BERT_R-1,pearson_BERT_R-2,pearson_BERT_R-l,pearson_BART_R-1,pearson_BART_R-2,pearson_BART_R-l
Pearson score,0.04,-0.15,-0.45,0.52,0.64,0.46,-0.47,-0.11,-0.02
p-value,0.96,0.85,0.55,0.48,0.36,0.54,0.53,0.89,0.98
