,pearson_CBERT_R-1,pearson_CBERT_R-2,pearson_CBERT_R-L,pearson_BERT_R-1,pearson_BERT_R-2,pearson_BERT_R-l,pearson_BART_R-1,pearson_BART_R-2,pearson_BART_R-l
Pearson score,0.48,0.66,0.54,0.57,0.75,0.69,0.17,0.54,0.39
p-value,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
