,CBERT-R,CBERT-P,CBERT-F,BERTScore-R,BERTScore-P,BERTScore-F,BARTScore,R-1,R-2,R-L,,CBERT-R,CBERT-P,CBERT-F,BERTScore-R,BERTScore-P,BERTScore-F,BARTScore,R-1,R-2,R-L
129,0.61,0.72,0.66,0.8,0.81,0.81,0.31,0.33,0.11,0.18,,,,,,,,,,,
130,0.77,0.72,0.75,0.86,0.85,0.86,0.37,0.51,0.26,0.33,,,,,,,,,,,
131,0.64,0.66,0.65,0.84,0.83,0.84,0.34,0.53,0.24,0.33,,,,,,,,,,,
132,0.58,0.72,0.64,0.84,0.84,0.84,0.35,0.44,0.14,0.22,,,,,,,,,,,
133,0.65,0.54,0.59,0.81,0.78,0.8,0.26,0.09,0.03,0.06,,,,,,,,,,,
134,0.68,0.69,0.69,0.82,0.83,0.82,0.26,0.46,0.13,0.21,,,,,,,,,,,
135,0.64,0.68,0.66,0.81,0.81,0.81,0.36,0.48,0.15,0.21,,,,,,,,,,,
136,0.72,0.54,0.62,0.85,0.77,0.81,0.29,0.07,0.02,0.05,,,,,,,,,,,
137,0.76,0.69,0.72,0.85,0.79,0.82,0.31,0.15,0.06,0.08,,,,,,,,,,,
138,0.71,0.72,0.71,0.83,0.81,0.82,0.3,0.21,0.08,0.12,,,,,,,,,,,
139,0.82,0.69,0.75,0.85,0.81,0.83,0.39,0.22,0.11,0.11,,,,,,,,,,,
140,0.71,0.71,0.71,0.85,0.81,0.83,0.27,0.21,0.08,0.15,,,,,,,,,,,
141,0.59,0.75,0.66,0.79,0.8,0.8,0.22,0.4,0.03,0.19,,,,,,,,,,,
142,0.68,0.57,0.62,0.84,0.81,0.82,0.36,0.31,0.06,0.14,,,,,,,,,,,
143,0.87,0.7,0.77,0.88,0.83,0.86,0.44,0.21,0.12,0.15,,,,,,,,,,,
144,0.88,0.43,0.58,0.87,0.73,0.79,0.22,0.02,0,0.01,,,,,,,,,,,
145,0.73,0.67,0.7,0.85,0.84,0.84,0.34,0.2,0.07,0.11,,,,,,,,,,,
146,0.84,0.81,0.83,0.87,0.83,0.85,0.42,0.34,0.22,0.23,,,,,,,,,,,
147,0.77,0.66,0.71,0.88,0.84,0.86,0.39,0.37,0.15,0.17,,,,,,,,,,,
148,0.78,0.74,0.76,0.86,0.85,0.85,0.38,0.47,0.21,0.24,,,,,,,,,,,
149,0.71,0.64,0.67,0.84,0.82,0.83,0.31,0.21,0.06,0.09,,,,,,,,,,,
150,0.89,0.6,0.72,0.85,0.79,0.82,0.38,0.06,0.03,0.05,,,,,,,,,,,
151,0.75,0.61,0.68,0.87,0.82,0.84,0.35,0.25,0.08,0.11,,,,,,,,,,,
152,0.85,0.77,0.81,0.85,0.85,0.85,0.33,0.34,0.17,0.18,,,,,,,,,,,
153,0.7,0.6,0.64,0.82,0.78,0.8,0.3,0.34,0.07,0.16,,,,,,,,,,,
154,0.75,0.58,0.66,0.85,0.77,0.81,0.35,0.13,0.03,0.08,,,,,,,,,,,
155,0.85,0.76,0.8,0.87,0.85,0.86,0.46,0.41,0.22,0.2,,,,,,,,,,,
156,0.87,0.74,0.8,0.87,0.83,0.85,0.39,0.23,0.11,0.13,,,,,,,,,,,
157,0.89,0.58,0.7,0.85,0.78,0.82,0.56,0.1,0.07,0.07,,,,,,,,,,,
158,0.77,0.63,0.7,0.87,0.83,0.85,0.31,0.22,0.09,0.1,,,,,,,,,,,
159,0.91,0.75,0.82,0.9,0.84,0.87,0.56,0.23,0.16,0.15,,,,,,,,,,,
160,0.8,0.74,0.77,0.86,0.83,0.85,0.42,0.33,0.16,0.16,,,,,,,,,,,
161,0.76,0.72,0.74,0.84,0.83,0.83,0.39,0.37,0.2,0.19,,,,,,,,,,,
162,0.84,0.78,0.81,0.86,0.83,0.84,0.39,0.23,0.11,0.17,,,,,,,,,,,
163,0.77,0.8,0.79,0.85,0.87,0.86,0.41,0.71,0.4,0.39,,,,,,,,,,,
164,0.79,0.61,0.69,0.88,0.83,0.85,0.43,0.22,0.11,0.14,,,,,,,,,,,
165,0.69,0.81,0.74,0.84,0.85,0.85,0.34,0.56,0.23,0.28,,,,,,,,,,,
166,0.87,0.77,0.82,0.89,0.83,0.86,0.44,0.3,0.17,0.17,,,,,,,,,,,
167,0.71,0.76,0.74,0.83,0.84,0.83,0.28,0.5,0.15,0.2,,,,,,,,,,,
168,0.88,0.6,0.71,0.9,0.82,0.86,0.47,0.34,0.2,0.23,,,,,,,,,,,
169,0.79,0.76,0.77,0.89,0.86,0.87,0.41,0.34,0.17,0.25,,,,,,,,,,,
170,0.72,0.55,0.62,0.86,0.82,0.84,0.41,0.39,0.14,0.16,,,,,,,,,,,
171,0.62,0.59,0.61,0.84,0.79,0.82,0.26,0.17,0.06,0.09,,,,,,,,,,,
172,0.62,0.72,0.67,0.82,0.81,0.82,0.24,0.44,0.15,0.2,,,,,,,,,,,
173,0.84,0.75,0.8,0.85,0.83,0.84,0.32,0.27,0.11,0.12,,,,,,,,,,,
174,0.67,0.55,0.6,0.84,0.78,0.81,0.32,0.16,0.04,0.1,,,,,,,,,,,
175,0.72,0.46,0.56,0.85,0.78,0.82,0.32,0.08,0.05,0.07,,,,,,,,,,,
176,0.75,0.67,0.71,0.84,0.82,0.83,0.36,0.31,0.14,0.18,,,,,,,,,,,
177,0.78,0.79,0.79,0.85,0.84,0.84,0.4,0.45,0.23,0.2,,,,,,,,,,,
178,0.81,0.78,0.8,0.89,0.87,0.88,0.44,0.54,0.35,0.38,,,,,,,,,,,
179,0.92,0.78,0.84,0.89,0.85,0.87,0.66,0.36,0.28,0.31,,,,,,,,,,,
180,0.85,0.61,0.71,0.86,0.76,0.81,0.38,0.09,0.04,0.06,,,,,,,,,,,
181,0.74,0.71,0.72,0.86,0.83,0.84,0.36,0.42,0.19,0.24,,,,,,,,,,,
182,0.7,0.57,0.63,0.82,0.78,0.8,0.35,0.29,0.1,0.14,,,,,,,,,,,
183,0.79,0.67,0.72,0.85,0.81,0.83,0.31,0.21,0.08,0.12,,,,,,,,,,,
184,0.81,0.54,0.65,0.87,0.77,0.81,0.36,0.09,0.03,0.05,,,,,,,,,,,
185,0.87,0.75,0.81,0.87,0.86,0.87,0.45,0.37,0.19,0.2,,,,,,,,,,,
186,0.84,0.78,0.81,0.87,0.84,0.86,0.45,0.44,0.27,0.31,,,,,,,,,,,
187,0.79,0.64,0.7,0.84,0.78,0.81,0.37,0.14,0.07,0.09,,,,,,,,,,,
188,0.49,0.42,0.45,0.88,0.77,0.82,0.48,0.33,0.29,0.24,,,,,,,,,,,
189,0.81,0.84,0.82,0.87,0.88,0.88,0.4,0.61,0.35,0.34,,,,,,,,,,,
190,0.75,0.57,0.65,0.85,0.77,0.81,0.33,0.09,0.04,0.08,,,,,,,,,,,
191,0.89,0.87,0.88,0.85,0.85,0.85,0.42,0.47,0.24,0.26,,,,,,,,,,,
192,0.7,0.61,0.65,0.84,0.76,0.8,0.23,0.12,0.04,0.08,,,,,,,,,,,
193,0.62,0.55,0.58,0.84,0.79,0.81,0.28,0.08,0.03,0.06,,,,,,,,,,,
194,0.63,0.68,0.65,0.81,0.8,0.8,0.32,0.43,0.13,0.18,,,,,,,,,,,
195,0.72,0.81,0.76,0.84,0.83,0.83,0.28,0.6,0.22,0.28,,,,,,,,,,,
196,0.81,0.72,0.76,0.85,0.81,0.83,0.38,0.26,0.1,0.13,,,,,,,,,,,
197,0.75,0.8,0.78,0.86,0.87,0.86,0.36,0.62,0.31,0.36,,,,,,,,,,,
198,0.73,0.71,0.72,0.83,0.82,0.82,0.3,0.36,0.13,0.16,,,,,,,,,,,
199,0.75,0.62,0.68,0.86,0.84,0.85,0.39,0.3,0.12,0.19,,,,,,,,,,,
200,0.72,0.48,0.58,0.84,0.76,0.8,0.28,0.07,0.01,0.04,,,,,,,,,,,
201,0.62,0.62,0.62,0.81,0.76,0.79,0.32,0.09,0.03,0.06,,,,,,,,,,,
202,0.75,0.76,0.75,0.85,0.83,0.84,0.34,0.58,0.27,0.34,,,,,,,,,,,
203,0.62,0.74,0.67,0.83,0.78,0.8,0.31,0.16,0.07,0.13,,,,,,,,,,,
204,0.85,0.75,0.8,0.87,0.83,0.85,0.47,0.37,0.23,0.16,,,,,,,,,,,
205,0.72,0.54,0.62,0.84,0.77,0.8,0.25,0.06,0.02,0.04,,,,,,,,,,,
206,0.88,0.84,0.86,0.89,0.85,0.87,0.53,0.4,0.3,0.24,,,,,,,,,,,
207,0.77,0.43,0.56,0.85,0.76,0.8,0.38,0.05,0.02,0.03,,,,,,,,,,,
208,0.86,0.89,0.87,0.88,0.87,0.88,0.45,0.53,0.28,0.38,,,,,,,,,,,
209,0.68,0.84,0.76,0.83,0.86,0.84,0.3,0.62,0.27,0.35,,,,,,,,,,,
210,0.58,0.57,0.58,0.82,0.82,0.82,0.33,0.33,0.05,0.16,,,,,,,,,,,
211,0.63,0.58,0.61,0.83,0.8,0.81,0.26,0.23,0.05,0.12,,,,,,,,,,,
212,0.76,0.78,0.77,0.86,0.84,0.85,0.38,0.44,0.22,0.21,,,,,,,,,,,
213,0.69,0.75,0.71,0.8,0.8,0.8,0.26,0.28,0.08,0.13,,,,,,,,,,,
214,0.71,0.71,0.71,0.84,0.8,0.82,0.29,0.15,0.06,0.09,,,,,,,,,,,
215,0.7,0.67,0.69,0.86,0.83,0.85,0.32,0.42,0.18,0.22,,,,,,,,,,,
216,0.88,0.64,0.74,0.88,0.82,0.85,0.44,0.24,0.12,0.16,,,,,,,,,,,
217,0.61,0.52,0.56,0.81,0.77,0.79,0.25,0.13,0,0.08,,,,,,,,,,,
218,0.81,0.67,0.74,0.87,0.81,0.84,0.39,0.27,0.14,0.15,,,,,,,,,,,
219,0.89,0.76,0.82,0.92,0.87,0.89,0.6,0.4,0.31,0.32,,,,,,,,,,,
220,0.84,0.82,0.83,0.86,0.85,0.86,0.46,0.58,0.33,0.28,,,,,,,,,,,
221,0.67,0.68,0.67,0.83,0.83,0.83,0.28,0.33,0.08,0.19,,,,,,,,,,,
222,0.87,0.72,0.78,0.87,0.82,0.84,0.46,0.26,0.15,0.17,,,,,,,,,,,
223,0.62,0.58,0.6,0.86,0.82,0.84,0.17,0.17,0.03,0.13,,,,,,,,,,,
224,0.62,0.43,0.51,0.82,0.73,0.77,0.17,0.03,0,0.02,,,,,,,,,,,
225,0.82,0.71,0.76,0.86,0.8,0.83,0.34,0.25,0.11,0.14,,,,,,,,,,,
226,0.77,0.68,0.72,0.85,0.78,0.81,0.32,0.17,0.08,0.1,,,,,,,,,,,
227,0.58,0.62,0.6,0.81,0.78,0.8,0.26,0.28,0.05,0.13,,,,,,,,,,,
228,0.82,0.81,0.81,0.82,0.82,0.82,0.26,0.3,0.13,0.14,,,,,,,,,,,
229,0.68,0.69,0.68,0.85,0.84,0.85,0.22,0.36,0.1,0.19,,,,,,,,,,,
230,0.81,0.64,0.71,0.87,0.83,0.85,0.42,0.24,0.11,0.16,,,,,,,,,,,
231,0.8,0.65,0.72,0.88,0.86,0.87,0.48,0.33,0.19,0.25,,,,,,,,,,,
232,0.77,0.76,0.76,0.85,0.86,0.86,0.37,0.64,0.36,0.25,,,,,,,,,,,
233,0.45,0.35,0.39,0.81,0.71,0.76,0.16,0.05,0,0.02,,,,,,,,,,,
234,0.88,0.55,0.67,0.88,0.78,0.83,0.41,0.12,0.05,0.06,,,,,,,,,,,
235,0.94,0.63,0.76,0.91,0.8,0.85,0.6,0.15,0.12,0.12,,,,,,,,,,,
236,0.82,0.68,0.75,0.89,0.85,0.87,0.46,0.32,0.21,0.14,,,,,,,,,,,
237,0.82,0.75,0.78,0.87,0.82,0.85,0.39,0.31,0.14,0.17,,,,,,,,,,,
238,0.54,0.62,0.58,0.79,0.8,0.79,0.21,0.22,0.02,0.13,,,,,,,,,,,
239,0.73,0.61,0.66,0.86,0.8,0.83,0.33,0.12,0.07,0.09,,,,,,,,,,,
240,0.75,0.58,0.66,0.86,0.78,0.82,0.34,0.12,0.05,0.07,,,,,,,,,,,
241,0.68,0.57,0.62,0.83,0.79,0.81,0.23,0.13,0.03,0.07,,,,,,,,,,,
242,0.81,0.66,0.73,0.86,0.83,0.85,0.32,0.21,0.09,0.11,,,,,,,,,,,
243,0.8,0.79,0.8,0.89,0.88,0.88,0.43,0.53,0.31,0.29,,,,,,,,,,,
244,0.87,0.72,0.79,0.87,0.83,0.85,0.43,0.41,0.24,0.2,,,,,,,,,,,
245,0.91,0.78,0.84,0.9,0.81,0.85,0.59,0.32,0.26,0.29,,,,,,,,,,,
246,0.79,0.48,0.6,0.84,0.75,0.79,0.21,0.05,0.01,0.03,,,,,,,,,,,
247,0.79,0.64,0.71,0.87,0.8,0.83,0.35,0.21,0.09,0.11,,,,,,,,,,,
248,0.82,0.7,0.76,0.83,0.8,0.82,0.42,0.21,0.1,0.12,,,,,,,,,,,
249,0.81,0.84,0.83,0.86,0.84,0.85,0.43,0.38,0.24,0.23,,,,,,,,,,,
250,0.86,0.64,0.73,0.89,0.82,0.86,0.4,0.23,0.1,0.14,,,,,,,,,,,
251,0.77,0.72,0.74,0.88,0.85,0.87,0.43,0.5,0.27,0.32,,,,,,,,,,,
252,0.96,0.69,0.8,0.84,0.78,0.81,0.49,0.11,0.07,0.06,,,,,,,,,,,
253,0.81,0.69,0.75,0.85,0.81,0.83,0.42,0.15,0.06,0.1,,,,,,,,,,,
254,0.91,0.71,0.8,0.92,0.86,0.89,0.67,0.32,0.24,0.23,,,,,,,,,,,
255,0.76,0.75,0.76,0.84,0.82,0.83,0.35,0.29,0.09,0.15,,,,,,,,,,,
