,pearson_CBERT_R-1,pearson_CBERT_R-2,pearson_CBERT_R-L,pearson_BERT_R-1,pearson_BERT_R-2,pearson_BERT_R-l,pearson_BART_R-1,pearson_BART_R-2,pearson_BART_R-l
Pearson score,-1.0,,-1.0,,,,-1.0,,-1.0
p-value,1.0,,1.0,,,,1.0,,1.0
