,pearson_CBERT_R-1,pearson_CBERT_R-2,pearson_CBERT_R-L,pearson_BERT_R-1,pearson_BERT_R-2,pearson_BERT_R-l,pearson_BART_R-1,pearson_BART_R-2,pearson_BART_R-l
Pearson score,0.47,0.79,0.91,-0.11,0.92,0.92,-0.5,0.93,0.68
p-value,0.53,0.21,0.09,0.89,0.08,0.08,0.5,0.07,0.32
