,pearson_CBERT_R-1,pearson_CBERT_R-2,pearson_CBERT_R-L,pearson_BERT_R-1,pearson_BERT_R-2,pearson_BERT_R-l,pearson_BART_R-1,pearson_BART_R-2,pearson_BART_R-l
Pearson score,0.65,0.81,0.69,0.17,0.33,0.32,0.28,0.55,0.5
p-value,0.0,0.0,0.0,0.48,0.15,0.17,0.23,0.01,0.03
