,pearson_CBERT_R-1,pearson_CBERT_R-2,pearson_CBERT_R-L,pearson_BERT_R-1,pearson_BERT_R-2,pearson_BERT_R-l,pearson_BART_R-1,pearson_BART_R-2,pearson_BART_R-l
Pearson score,0.69,0.75,0.71,0.34,0.38,0.37,0.3,0.5,0.46
p-value,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
