,CBERT-R,CBERT-P,CBERT-F,BERTScore-R,BERTScore-P,BERTScore-F,BARTScore,R-1,R-2,R-L
81,0.88,0.66,0.76,0.85,0.83,0.84,0.39,0.26,0.15,0.19
82,0.82,0.69,0.75,0.85,0.83,0.84,0.24,0.16,0.06,0.09
83,0.73,0.65,0.69,0.83,0.81,0.82,0.25,0.19,0.05,0.1
84,0.82,0.56,0.66,0.84,0.79,0.82,0.19,0.1,0.02,0.05
85,0.89,0.67,0.76,0.84,0.82,0.83,0.24,0.15,0.05,0.07
86,0.84,0.68,0.76,0.82,0.82,0.82,0.27,0.2,0.06,0.07
87,0.95,0.64,0.77,0.84,0.83,0.83,0.36,0.2,0.1,0.09
88,0.87,0.6,0.71,0.83,0.82,0.83,0.21,0.06,0.02,0.04
89,0.41,0.52,0.46,0.77,0.79,0.78,0.17,0.2,0.0,0.09
90,0.9,0.74,0.81,0.84,0.83,0.84,0.31,0.25,0.11,0.13
91,0.79,0.75,0.77,0.84,0.83,0.83,0.31,0.36,0.14,0.15
92,0.82,0.62,0.7,0.85,0.8,0.82,0.3,0.17,0.05,0.11
93,0.92,0.68,0.78,0.83,0.8,0.81,0.24,0.06,0.03,0.03
94,0.85,0.72,0.78,0.83,0.8,0.81,0.36,0.18,0.09,0.1
95,0.82,0.66,0.73,0.86,0.81,0.83,0.33,0.24,0.09,0.12
96,0.84,0.72,0.77,0.85,0.84,0.84,0.33,0.27,0.14,0.15
97,0.91,0.68,0.78,0.83,0.83,0.83,0.26,0.13,0.06,0.06
98,0.92,0.75,0.83,0.84,0.83,0.83,0.38,0.29,0.16,0.18
99,0.87,0.7,0.77,0.81,0.82,0.81,0.29,0.13,0.06,0.06
100,0.83,0.65,0.73,0.83,0.82,0.83,0.26,0.19,0.07,0.1
