,pearson_CBERT_R-1,pearson_CBERT_R-2,pearson_CBERT_R-L,pearson_BERT_R-1,pearson_BERT_R-2,pearson_BERT_R-l,pearson_BART_R-1,pearson_BART_R-2,pearson_BART_R-l
Pearson score,-0.32,0.06,-0.32,0.16,0.31,0.14,0.36,0.6,0.39
p-value,0.0,0.53,0.0,0.11,0.0,0.17,0.0,0.0,0.0
