,pearson_CBERT_R-1,pearson_CBERT_R-L,pearson_BERT_R-1,pearson_BERT_R-l,pearson_BART_R-1,pearson_BART_R-l
Pearson score,-0.23,-0.23,0.06,0.06,0.23,0.23
p-value,0.34,0.34,0.81,0.81,0.33,0.33
