,pearson_CBERT_R-1,pearson_CBERT_R-2,pearson_CBERT_R-L,pearson_BERT_R-1,pearson_BERT_R-2,pearson_BERT_R-l,pearson_BART_R-1,pearson_BART_R-2,pearson_BART_R-l
Pearson score,0.49,0.15,0.45,-1.0,-0.94,-0.99,0.61,0.74,0.68
p-value,0.51,0.85,0.55,0.0,0.06,0.01,0.39,0.26,0.32
