,pearson_CBERT_R-1,pearson_CBERT_R-L,pearson_BERT_R-1,pearson_BERT_R-l,pearson_BART_R-1,pearson_BART_R-l
Pearson score,0.0,0.0,-0.11,-0.11,-0.12,-0.12
p-value,0.99,0.92,0.01,0.01,0.01,0.01
