,CBERT,BERTScore,BARTScore,R-1,R-L,,CBERT,BERTScore,BARTScore,R-1,R-L
215,0.8,0.79,0.4,1,1,,,,,,
216,0.82,0.79,0.5,1,1,,,,,,
217,0.9,0.78,0.32,0.99,0.99,,,,,,
218,0.91,0.75,0.33,1,1,,,,,,
219,0.81,0.78,0.39,1,1,,,,,,
220,0.9,0.82,0.36,0.95,0.95,,,,,,
221,0.89,0.78,0.23,1,1,,,,,,
222,0.84,0.79,0.35,1,1,,,,,,
223,0.88,0.77,0.5,1,1,,,,,,
224,0.9,0.77,0.4,1,1,,,,,,
225,0.86,0.78,0.53,1,1,,,,,,
226,0.93,0.84,0.32,1,1,,,,,,
227,0.92,0.79,0.29,1,1,,,,,,
228,0.9,0.75,0.36,1,1,,,,,,
229,0.85,0.79,0.36,0.99,0.99,,,,,,
230,0.89,0.82,0.63,1,1,,,,,,
231,0.79,0.76,0.37,1,1,,,,,,
232,0.88,0.76,0.27,1,1,,,,,,
233,0.9,0.81,0.36,0.98,0.98,,,,,,
234,0.87,0.79,0.33,1,1,,,,,,
235,0.8,0.74,0.33,1,1,,,,,,
236,0.79,0.78,0.48,1,1,,,,,,
237,0.9,0.82,0.38,0.99,0.99,,,,,,
238,0.83,0.76,0.24,1,1,,,,,,
239,0.87,0.79,0.3,0.99,0.99,,,,,,
240,0.87,0.75,0.37,1,1,,,,,,
241,0.9,0.75,0.24,1,1,,,,,,
242,0.84,0.78,0.4,0.99,0.99,,,,,,
243,0.87,0.84,0.56,1,1,,,,,,
244,0.86,0.79,0.3,0.99,0.99,,,,,,
245,0.83,0.73,0.27,0.99,0.99,,,,,,
246,0.88,0.8,0.49,1,1,,,,,,
247,0.85,0.8,0.34,0.99,0.99,,,,,,
248,0.88,0.81,0.37,1,1,,,,,,
249,0.81,0.82,0.51,1,1,,,,,,
250,0.82,0.78,0.56,0.99,0.99,,,,,,
251,0.86,0.79,0.32,1,1,,,,,,
252,0.94,0.78,0.41,1,1,,,,,,
253,0.84,0.8,0.55,1,1,,,,,,
254,0.95,0.8,0.51,0.99,0.99,,,,,,
255,0.91,0.77,0.28,1,1,,,,,,
256,0.87,0.78,0.36,1,1,,,,,,
257,0.87,0.75,0.3,0.98,0.98,,,,,,
258,0.83,0.81,0.39,1,1,,,,,,
259,0.85,0.79,0.55,0.98,0.98,,,,,,
260,0.81,0.76,0.3,0.98,0.98,,,,,,
261,0.87,0.79,0.36,1,1,,,,,,
262,0.83,0.75,0.33,1,1,,,,,,
263,0.87,0.69,0.4,1,1,,,,,,
264,0.84,0.77,0.39,1,1,,,,,,
265,0.89,0.78,0.45,1,1,,,,,,
266,0.82,0.75,0.49,1,1,,,,,,
267,0.92,0.73,0.34,1,1,,,,,,
268,0.82,0.78,0.31,0.99,0.99,,,,,,
269,0.89,0.8,0.36,0.99,0.99,,,,,,
270,0.87,0.71,0.22,1,1,,,,,,
271,0.91,0.79,0.28,1,1,,,,,,
272,0.89,0.81,0.31,1,1,,,,,,
273,0.8,0.83,0.5,0.99,0.99,,,,,,
274,0.91,0.79,0.37,0.99,0.99,,,,,,
275,0.9,0.78,0.4,0.99,0.99,,,,,,
276,0.92,0.76,0.28,1,1,,,,,,
277,0.83,0.78,0.54,1,1,,,,,,
278,0.81,0.79,0.31,1,1,,,,,,
279,0.87,0.82,0.33,0.99,0.99,,,,,,
280,0.83,0.77,0.35,1,1,,,,,,
281,0.88,0.76,0.25,0.98,0.98,,,,,,
282,0.82,0.83,0.43,0.99,0.99,,,,,,
283,0.9,0.83,0.33,1,1,,,,,,
284,0.84,0.8,0.59,0.99,0.99,,,,,,
285,0.91,0.81,0.32,1,1,,,,,,
286,0.86,0.74,0.3,1,1,,,,,,
287,0.85,0.76,0.3,0.99,0.99,,,,,,
288,0.85,0.75,0.29,0.99,0.99,,,,,,
289,0.85,0.76,0.45,1,1,,,,,,
290,0.88,0.8,0.48,1,1,,,,,,
291,0.83,0.8,0.3,1,1,,,,,,
292,0.86,0.79,0.33,1,1,,,,,,
293,0.87,0.78,0.27,1,1,,,,,,
294,0.82,0.77,0.33,0.99,0.99,,,,,,
295,0.93,0.79,0.41,0.98,0.98,,,,,,
296,0.89,0.77,0.35,1,1,,,,,,
297,0.83,0.8,0.39,1,1,,,,,,
298,0.87,0.81,0.33,1,1,,,,,,
299,0.88,0.78,0.29,0.98,0.98,,,,,,
300,0.88,0.8,0.33,1,1,,,,,,
301,0.87,0.79,0.3,1,1,,,,,,
302,0.81,0.82,0.48,0.99,0.99,,,,,,
303,0.9,0.78,0.26,1,1,,,,,,
304,0.87,0.8,0.52,1,1,,,,,,
305,0.92,0.82,0.36,0.99,0.99,,,,,,
306,0.89,0.75,0.25,1,1,,,,,,
307,0.9,0.77,0.3,1,1,,,,,,
308,0.92,0.82,0.47,0.99,0.99,,,,,,
309,0.88,0.77,0.23,1,1,,,,,,
310,0.87,0.76,0.33,0.99,0.99,,,,,,
311,0.83,0.79,0.38,1,1,,,,,,
312,0.85,0.75,0.26,0.99,0.99,,,,,,
313,0.86,0.79,0.32,0.99,0.99,,,,,,
314,0.87,0.8,0.41,1,1,,,,,,
315,0.83,0.79,0.3,1,1,,,,,,
316,0.8,0.81,0.56,1,1,,,,,,
317,0.84,0.77,0.42,0.98,0.98,,,,,,
318,0.82,0.77,0.27,1,1,,,,,,
319,0.9,0.8,0.5,0.96,0.96,,,,,,
320,0.86,0.77,0.23,0.99,0.99,,,,,,
321,0.9,0.79,0.39,0.99,0.99,,,,,,
322,0.85,0.8,0.41,1,1,,,,,,
323,0.88,0.77,0.45,1,1,,,,,,
324,0.84,0.75,0.37,0.99,0.99,,,,,,
325,0.84,0.79,0.43,0.98,0.98,,,,,,
326,0.88,0.84,0.41,1,1,,,,,,
327,0.87,0.76,0.32,1,1,,,,,,
328,0.84,0.75,0.37,1,1,,,,,,
329,0.9,0.78,0.45,1,1,,,,,,
330,0.84,0.82,0.34,1,1,,,,,,
331,0.9,0.77,0.27,1,1,,,,,,
332,0.89,0.78,0.29,1,1,,,,,,
333,0.81,0.78,0.43,1,0.99,,,,,,
334,0.85,0.77,0.25,0.99,0.99,,,,,,
335,0.82,0.84,0.49,1,1,,,,,,
336,0.92,0.74,0.38,1,1,,,,,,
337,0.8,0.8,0.42,1,1,,,,,,
338,0.87,0.76,0.3,0.99,0.99,,,,,,
339,0.96,0.72,0.4,1,1,,,,,,
340,0.84,0.75,0.4,1,1,,,,,,
341,0.83,0.77,0.31,1,1,,,,,,
342,0.82,0.78,0.44,1,1,,,,,,
343,0.83,0.8,0.36,0.99,0.99,,,,,,
344,0.89,0.79,0.51,0.98,0.98,,,,,,
345,0.88,0.79,0.38,0.98,0.98,,,,,,
346,0.89,0.78,0.34,1,1,,,,,,
347,0.89,0.78,0.37,0.99,0.99,,,,,,
348,0.89,0.78,0.49,1,1,,,,,,
349,0.79,0.73,0.38,1,1,,,,,,
350,0.81,0.78,0.3,0.99,0.99,,,,,,
351,0.84,0.84,0.39,1,1,,,,,,
352,0.89,0.81,0.43,0.98,0.98,,,,,,
353,0.88,0.76,0.39,0.99,0.99,,,,,,
354,0.89,0.8,0.39,1,1,,,,,,
355,0.85,0.8,0.33,1,1,,,,,,
356,0.82,0.73,0.56,0.98,0.98,,,,,,
357,0.88,0.81,0.4,1,1,,,,,,
358,0.84,0.79,0.41,0.99,0.99,,,,,,
359,0.87,0.8,0.36,1,1,,,,,,
360,0.88,0.82,0.33,1,1,,,,,,
361,0.81,0.81,0.75,1,1,,,,,,
362,0.8,0.68,0.27,1,1,,,,,,
363,0.89,0.8,0.27,1,1,,,,,,
364,0.88,0.78,0.3,0.99,0.99,,,,,,
365,0.8,0.79,0.27,1,1,,,,,,
366,0.81,0.8,0.44,1,1,,,,,,
367,0.85,0.79,0.35,1,1,,,,,,
368,0.85,0.8,0.27,0.99,0.99,,,,,,
369,0.86,0.77,0.73,1,1,,,,,,
370,0.82,0.8,0.4,0.98,0.98,,,,,,
371,0.88,0.74,0.25,0.99,0.99,,,,,,
372,0.85,0.79,0.4,0.98,0.98,,,,,,
373,0.91,0.76,0.28,1,1,,,,,,
374,0.87,0.81,0.34,0.99,0.99,,,,,,
375,0.97,0.7,0.35,1,1,,,,,,
376,0.87,0.79,0.28,1,1,,,,,,
377,0.86,0.75,0.45,1,1,,,,,,
378,0.86,0.79,0.45,0.98,0.98,,,,,,
379,0.9,0.78,0.4,1,1,,,,,,
380,0.86,0.76,0.32,0.99,0.99,,,,,,
381,0.87,0.75,0.24,1,1,,,,,,
382,0.76,0.75,0.35,1,1,,,,,,
383,0.86,0.72,0.22,0.99,0.99,,,,,,
384,0.88,0.76,0.38,1,1,,,,,,
385,0.89,0.74,0.55,1,1,,,,,,
386,0.81,0.8,0.37,1,1,,,,,,
387,0.8,0.79,0.37,0.99,0.99,,,,,,
388,0.92,0.79,0.37,1,1,,,,,,
389,0.89,0.77,0.26,1,1,,,,,,
390,0.83,0.76,0.51,0.99,0.99,,,,,,
391,0.88,0.79,0.29,1,1,,,,,,
392,0.87,0.79,0.42,1,1,,,,,,
393,0.81,0.81,0.45,0.99,0.99,,,,,,
394,0.87,0.83,0.57,0.99,0.99,,,,,,
395,0.89,0.78,0.28,1,1,,,,,,
396,0.9,0.73,0.26,0.99,0.99,,,,,,
397,0.82,0.78,0.23,1,1,,,,,,
398,0.86,0.8,0.33,1,1,,,,,,
399,0.85,0.79,0.28,0.99,0.99,,,,,,
400,0.9,0.77,0.31,0.98,0.98,,,,,,
401,0.83,0.76,0.27,1,1,,,,,,
402,0.86,0.78,0.29,1,1,,,,,,
403,0.83,0.79,0.44,0.98,0.98,,,,,,
404,0.91,0.76,0.42,1,1,,,,,,
405,0.87,0.79,0.44,1,1,,,,,,
406,0.81,0.78,0.29,0.99,0.99,,,,,,
407,0.83,0.77,0.46,1,1,,,,,,
408,0.83,0.77,0.29,0.99,0.99,,,,,,
409,0.88,0.75,0.4,1,1,,,,,,
410,0.72,0.72,0.26,1,1,,,,,,
411,0.88,0.79,0.29,1,1,,,,,,
412,0.91,0.81,0.31,1,1,,,,,,
413,0.86,0.78,0.47,1,1,,,,,,
414,0.83,0.79,0.39,0.99,0.99,,,,,,
415,0.86,0.77,0.39,1,1,,,,,,
416,0.87,0.85,0.37,1,1,,,,,,
417,0.78,0.83,0.41,1,1,,,,,,
418,0.83,0.77,0.46,1,1,,,,,,
419,0.9,0.81,0.27,0.99,0.99,,,,,,
420,0.86,0.77,0.24,0.99,0.99,,,,,,
421,0.86,0.79,0.35,1,1,,,,,,
422,0.91,0.78,0.3,1,1,,,,,,
423,0.89,0.81,0.31,1,1,,,,,,
424,0.89,0.78,0.29,1,1,,,,,,
425,0.86,0.75,0.39,0.99,0.99,,,,,,
426,0.84,0.76,0.39,1,1,,,,,,
427,0.83,0.71,0.37,1,1,,,,,,
428,0.87,0.79,0.37,1,1,,,,,,
429,0.83,0.78,0.28,1,1,,,,,,
430,0.9,0.79,0.47,1,1,,,,,,
431,0.84,0.73,0.34,1,1,,,,,,
432,0.94,0.75,0.29,1,1,,,,,,
433,0.82,0.8,0.32,0.99,0.99,,,,,,
434,0.88,0.79,0.28,1,1,,,,,,
435,0.86,0.78,0.37,1,1,,,,,,
436,0.82,0.75,0.3,1,1,,,,,,
437,0.85,0.79,0.34,0.97,0.97,,,,,,
438,0.82,0.79,0.26,1,1,,,,,,
439,0.89,0.8,0.3,0.99,0.99,,,,,,
440,0.91,0.79,0.39,1,1,,,,,,
441,0.8,0.75,0.34,1,1,,,,,,
442,0.84,0.79,0.47,1,1,,,,,,
443,0.89,0.79,0.33,1,1,,,,,,
444,0.9,0.76,0.29,0.99,0.99,,,,,,
445,0.89,0.82,0.53,0.99,0.99,,,,,,
446,0.83,0.79,0.26,1,1,,,,,,
447,0.89,0.8,0.39,1,1,,,,,,
448,0.89,0.76,0.37,1,1,,,,,,
449,0.92,0.78,0.3,1,1,,,,,,
450,0.88,0.76,0.3,1,1,,,,,,
451,0.84,0.8,0.51,1,1,,,,,,
452,0.87,0.75,0.32,1,1,,,,,,
453,0.87,0.78,0.37,1,1,,,,,,
454,0.9,0.81,0.53,0.99,0.99,,,,,,
455,0.83,0.75,0.39,0.99,0.99,,,,,,
456,0.87,0.81,0.46,0.99,0.99,,,,,,
457,0.81,0.79,0.32,1,1,,,,,,
458,0.88,0.8,0.47,0.99,0.99,,,,,,
459,0.83,0.76,0.44,0.99,0.99,,,,,,
460,0.86,0.82,0.43,1,1,,,,,,
461,0.82,0.76,0.31,0.99,0.99,,,,,,
462,0.82,0.85,0.43,1,1,,,,,,
463,0.91,0.75,0.44,1,1,,,,,,
464,0.82,0.79,0.39,0.99,0.99,,,,,,
465,0.91,0.76,0.32,0.99,0.99,,,,,,
466,0.89,0.77,0.27,1,1,,,,,,
467,0.88,0.82,0.63,0.98,0.98,,,,,,
468,0.88,0.75,0.23,1,1,,,,,,
469,0.97,0.75,0.46,1,1,,,,,,
470,0.89,0.77,0.29,0.98,0.98,,,,,,
471,0.84,0.82,0.36,0.99,0.99,,,,,,
472,0.84,0.81,0.34,1,1,,,,,,
473,0.86,0.77,0.45,0.99,0.99,,,,,,
474,0.93,0.82,0.67,1,1,,,,,,
475,0.89,0.77,0.29,1,1,,,,,,
476,0.91,0.78,0.46,1,1,,,,,,
477,0.87,0.77,0.34,1,1,,,,,,
478,0.88,0.77,0.28,1,1,,,,,,
479,0.86,0.77,0.28,1,1,,,,,,
480,0.94,0.8,0.4,1,1,,,,,,
481,0.9,0.77,0.27,1,1,,,,,,
482,0.85,0.77,0.33,1,1,,,,,,
483,0.9,0.79,0.29,0.99,0.99,,,,,,
484,0.8,0.78,0.26,1,1,,,,,,
485,0.87,0.78,0.34,1,1,,,,,,
486,0.79,0.79,0.62,1,1,,,,,,
487,0.83,0.8,0.4,1,1,,,,,,
488,0.82,0.77,0.39,1,1,,,,,,
489,0.89,0.75,0.24,1,1,,,,,,
490,0.84,0.72,0.27,1,1,,,,,,
491,0.89,0.76,0.37,0.99,0.99,,,,,,
492,0.83,0.75,0.54,0.98,0.98,,,,,,
493,0.83,0.76,0.23,1,1,,,,,,
494,0.91,0.76,0.46,1,1,,,,,,
495,0.84,0.75,0.47,1,1,,,,,,
496,0.87,0.73,0.4,0.99,0.99,,,,,,
497,0.89,0.81,0.41,1,1,,,,,,
498,0.89,0.72,0.6,0.98,0.98,,,,,,
499,0.87,0.81,0.36,1,1,,,,,,
