,pearson_CBERT_R-1,pearson_CBERT_R-2,pearson_CBERT_R-L,pearson_BERT_R-1,pearson_BERT_R-2,pearson_BERT_R-l,pearson_BART_R-1,pearson_BART_R-2,pearson_BART_R-l
Pearson score,0.02,0.29,-0.05,-0.26,-0.05,-0.27,0.1,0.16,0.13
p-value,0.74,0.0,0.42,0.0,0.4,0.0,0.11,0.01,0.04
