,pearson_CBERT_R-1,pearson_CBERT_R-2,pearson_CBERT_R-L,pearson_BERT_R-1,pearson_BERT_R-2,pearson_BERT_R-l,pearson_BART_R-1,pearson_BART_R-2,pearson_BART_R-l
Pearson score,-0.31,-0.02,-0.63,-0.92,-0.76,-0.95,-0.44,-0.13,-0.64
p-value,0.69,0.98,0.37,0.08,0.24,0.05,0.56,0.87,0.36
