,pearson_CBERT_R-1,pearson_CBERT_R-2,pearson_CBERT_R-L,pearson_BERT_R-1,pearson_BERT_R-2,pearson_BERT_R-l,pearson_BART_R-1,pearson_BART_R-2,pearson_BART_R-l
Pearson score,0.09,0.34,0.02,-0.24,-0.04,-0.26,0.12,0.18,0.15
p-value,0.07,0.0,0.68,0.0,0.48,0.0,0.02,0.0,0.0
