,pearson_CBERT_R-1,pearson_CBERT_R-2,pearson_CBERT_R-L,pearson_BERT_R-1,pearson_BERT_R-2,pearson_BERT_R-l,pearson_BART_R-1,pearson_BART_R-2,pearson_BART_R-l
Pearson score,0.08,0.33,0.01,-0.26,-0.06,-0.28,0.09,0.13,0.11
p-value,0.16,0.0,0.9,0.0,0.3,0.0,0.14,0.02,0.06
