,pearson_CBERT_R-1,pearson_CBERT_R-2,pearson_CBERT_R-L,pearson_BERT_R-1,pearson_BERT_R-2,pearson_BERT_R-l,pearson_BART_R-1,pearson_BART_R-2,pearson_BART_R-l
Pearson score,0.3,0.44,0.36,0.33,0.49,0.45,0.42,0.6,0.56
p-value,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
