,pearson_CBERT_R-1,pearson_CBERT_R-2,pearson_CBERT_R-L,pearson_BERT_R-1,pearson_BERT_R-2,pearson_BERT_R-l,pearson_BART_R-1,pearson_BART_R-2,pearson_BART_R-l
Pearson score,0.43,-0.66,0.35,0.97,-0.82,0.96,0.91,-0.44,0.95
p-value,0.57,0.34,0.65,0.03,0.18,0.04,0.09,0.56,0.05
