,pearson_CBERT_R-1,pearson_CBERT_R-2,pearson_CBERT_R-L,pearson_BERT_R-1,pearson_BERT_R-2,pearson_BERT_R-l,pearson_BART_R-1,pearson_BART_R-2,pearson_BART_R-l
Pearson score,0.31,0.49,0.42,0.28,0.49,0.46,0.35,0.57,0.54
p-value,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
