,pearson_CBERT_R-1,pearson_CBERT_R-2,pearson_CBERT_R-L,pearson_BERT_R-1,pearson_BERT_R-2,pearson_BERT_R-l,pearson_BART_R-1,pearson_BART_R-2,pearson_BART_R-l
Pearson score,0.69,0.73,0.66,0.54,0.7,0.61,0.2,0.54,0.36
p-value,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
