,pearson_CBERT_R-1,pearson_CBERT_R-2,pearson_CBERT_R-L,pearson_BERT_R-1,pearson_BERT_R-2,pearson_BERT_R-l,pearson_BART_R-1,pearson_BART_R-2,pearson_BART_R-l
Pearson score,0.24,0.42,0.33,0.31,0.5,0.47,0.35,0.58,0.53
p-value,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
