,pearson_CBERT_R-1,pearson_CBERT_R-2,pearson_CBERT_R-L,pearson_BERT_R-1,pearson_BERT_R-2,pearson_BERT_R-l,pearson_BART_R-1,pearson_BART_R-2,pearson_BART_R-l
Pearson score,0.72,0.68,0.55,0.28,0.41,0.18,0.2,0.43,0.21
p-value,0.0,0.0,0.0,0.05,0.0,0.21,0.15,0.0,0.13
