,CBERT,BERTScore,BARTScore,R-1,R-2,R-L
0,0.59,0.82,0.19,0.05,0.01,0.03
1,0.58,0.81,0.13,0.05,0.0,0.03
2,0.45,0.79,0.32,0.07,0.0,0.05
3,0.59,0.8,0.27,0.07,0.01,0.05
4,0.43,0.79,0.27,0.2,0.01,0.11
5,0.51,0.8,0.18,0.38,0.07,0.28
6,0.48,0.8,0.22,0.34,0.05,0.21
7,0.58,0.8,0.21,0.15,0.02,0.08
8,0.6,0.82,0.24,0.11,0.02,0.07
9,0.52,0.8,0.19,0.2,0.01,0.1
10,0.67,0.84,0.25,0.24,0.04,0.11
11,0.58,0.8,0.23,0.17,0.02,0.09
12,0.44,0.79,0.22,0.1,0.0,0.07
13,0.6,0.82,0.14,0.01,0.0,0.01
14,0.56,0.8,0.24,0.24,0.03,0.12
15,0.65,0.81,0.27,0.15,0.03,0.07
16,0.53,0.82,0.25,0.23,0.03,0.16
17,0.54,0.83,0.26,0.05,0.01,0.04
18,0.51,0.81,0.14,0.05,0.0,0.03
19,0.58,0.8,0.28,0.08,0.01,0.04
20,0.6,0.8,0.21,0.16,0.02,0.08
21,0.5,0.8,0.26,0.05,0.01,0.03
22,0.58,0.79,0.23,0.21,0.02,0.12
23,0.62,0.8,0.24,0.17,0.02,0.1
24,0.53,0.81,0.22,0.13,0.01,0.07
25,0.5,0.8,0.21,0.1,0.01,0.06
26,0.52,0.82,0.24,0.25,0.03,0.14
27,0.44,0.81,0.24,0.09,0.01,0.05
28,0.59,0.81,0.25,0.33,0.06,0.15
29,0.53,0.78,0.23,0.41,0.06,0.22
30,0.59,0.82,0.24,0.17,0.03,0.1
31,0.53,0.8,0.18,0.09,0.01,0.05
32,0.5,0.79,0.26,0.28,0.03,0.16
33,0.53,0.8,0.29,0.09,0.01,0.06
34,0.58,0.79,0.27,0.04,0.01,0.03
35,0.56,0.82,0.26,0.03,0.01,0.02
36,0.59,0.82,0.29,0.12,0.01,0.06
37,0.66,0.82,0.19,0.08,0.02,0.05
38,0.54,0.82,0.23,0.14,0.01,0.08
39,0.52,0.82,0.27,0.06,0.01,0.05
40,0.6,0.79,0.2,0.35,0.03,0.16
41,0.46,0.79,0.25,0.12,0.01,0.08
42,0.52,0.81,0.3,0.32,0.03,0.16
43,0.68,0.82,0.17,0.05,0.01,0.03
44,0.53,0.8,0.25,0.07,0.0,0.05
45,0.59,0.8,0.24,0.24,0.04,0.14
46,0.53,0.79,0.42,0.09,0.02,0.07
47,0.52,0.82,0.29,0.16,0.03,0.11
48,0.6,0.8,0.28,0.11,0.01,0.07
49,0.53,0.79,0.25,0.11,0.0,0.07
50,0.51,0.78,0.24,0.31,0.04,0.16
