,pearson_CBERT_R-1,pearson_CBERT_R-2,pearson_CBERT_R-L,pearson_BERT_R-1,pearson_BERT_R-2,pearson_BERT_R-l,pearson_BART_R-1,pearson_BART_R-2,pearson_BART_R-l
Pearson score,-0.09,0.12,-0.18,-0.28,-0.06,-0.28,0.01,0.04,0.02
p-value,0.54,0.41,0.21,0.05,0.68,0.05,0.97,0.77,0.88
