,pearson_CBERT_R-1,pearson_CBERT_R-2,pearson_CBERT_R-L,pearson_BERT_R-1,pearson_BERT_R-2,pearson_BERT_R-l,pearson_BART_R-1,pearson_BART_R-2,pearson_BART_R-l
Pearson score,0.94,0.95,0.86,0.08,0.1,0.36,0.27,0.33,0.5
p-value,0.06,0.05,0.14,0.92,0.9,0.64,0.73,0.67,0.5
